ID,ID_HEX,ClassJob,ClassJobCategory,Name
8,0008,0,0,Schießen
10,000A,-1,0,Schutzwall
12,000C,-1,0,Konvaleszenz
13,000D,-1,0,Achtsamkeit
18,0012,-1,0,Herausforderung
32,0020,-1,0,Vorahnung
33,0021,-1,0,Knochenbrecher
34,0022,-1,0,Blutbad
36,0024,-1,0,Gnadenstoß
39,0027,-1,0,Rohe Gewalt
55,0037,-1,0,Leichtfuß
57,0039,-1,0,Chakra
58,003A,-1,0,Aufwärtshaken
68,0044,-1,0,Hauch Des Todes
76,004C,-1,0,Finte
77,004D,-1,0,Auge Des Sturms
80,0050,-1,0,Ungestüm
82,0052,-1,0,Beinfeger
89,0059,-1,0,Dornenkranz
91,005B,-1,0,Phlebotomie
93,005D,-1,0,Drachenklaue
99,0063,-1,0,Falkenauge
102,0066,-1,0,Flammenpfeil
104,0068,-1,0,Ablenkung
105,0069,-1,0,Schmissiger Song
108,006C,-1,0,Schattenfessel
109,006D,-1,0,Stumpfer Pfeil
111,006F,-1,0,Sternenhagel
122,007A,-1,0,Bußprediger
123,007B,-1,0,Protes
126,007E,-1,0,Medica
129,0081,-1,0,Steinhaut
130,0082,-1,0,Fispelstimme
138,008A,-1,0,Göttliches Siegel
143,008F,-1,0,Unbeirrbarkeit
148,0094,-1,0,Blitzra
150,0096,-1,0,Spontaneität
151,0097,-1,0,Lethargie
160,00A0,-1,0,Apokatastasis
161,00A1,-1,0,Mana-Wand
169,00A9,-1,0,Virus
175,00AF,-1,0,Auge Um Auge
183,00B7,-1,0,Ansporn
187,00BB,-1,0,Lustration
191,00BF,-1,0,Steinrahaut
196,00C4,-1,0,反撃効果
209,00D1,-1,0,Limitrausch
307,0133,-1,0,Schweigen
308,0134,-1,0,Paralyse
309,0135,-1,0,Hast
310,0136,-1,0,Gemach
311,0137,-1,0,Feuerstachel
312,0138,-1,0,Eisstachel
313,0139,-1,0,Schockstachel
314,013A,-1,0,Physische Steinhaut
315,013B,-1,0,Magische Steinhaut
316,013C,-1,0,Steinhaut
317,013D,-1,0,Fauliger Atem
318,013E,-1,0,Frostiger Atem
319,013F,-1,0,Huftritt
320,0140,-1,0,Stampede
321,0141,-1,0,Großes Horn
322,0142,-1,0,Steinwurf
323,0143,-1,0,Dreckschmiere
324,0144,-1,0,Tiefer Kratzer
325,0145,-1,0,Donnerschlag
326,0146,-1,0,Donnersturm
327,0147,-1,0,Klebnetz
328,0148,-1,0,Ätzsprüher
329,0149,-1,0,Tödliche Durchbohrung
330,014A,-1,0,Tödliche Durchbohrung
331,014B,-1,0,Flügelschnitt
332,014C,-1,0,Markerschütternder Schrei
333,014D,-1,0,Dotterguss
334,014E,-1,0,Wilder Ansturm
335,014F,-1,0,Borstigkeit
336,0150,-1,0,Grunzen
337,0151,-1,0,Selbstzerstörung
338,0152,-1,0,Kombustion
339,0153,-1,0,Verpuffung
340,0154,-1,0,Kränken
341,0155,-1,0,Höllenhieb
342,0156,-1,0,Seelensauger
343,0157,-1,0,Verhängnis
344,0158,-1,0,Saatsalve
345,0159,-1,0,Säuerliches Sausen
346,015A,-1,0,Schnittiges Sausen
347,015B,-1,0,Spitze Zunge
348,015C,-1,0,Schleimiges Sekret
349,015D,-1,0,Abschlecken
350,015E,-1,0,Mikroschlag
351,015F,-1,0,Sinushaar-Schock
352,0160,-1,0,Auge Des Chaos
353,0161,-1,0,Vibrissenpuls
354,0162,-1,0,Neugierde
355,0163,-1,0,Megaschlag
356,0164,-1,0,Eiserne Gerechtigkeit
357,0165,-1,0,Wille Des Königs
358,0166,-1,0,Klinge Des Leids
359,0167,-1,0,Klinge Der Absolution
360,0168,-1,0,Klinge Der Buße
361,0169,-1,0,Gleißende Klinge
362,016A,-1,0,Geiststoß
363,016B,-1,0,Schwächende Berührung
364,016C,-1,0,Säurenebel
365,016D,-1,0,Säurenebel
366,016E,-1,0,Säurenebel
367,016F,-1,0,Säurenebel
368,0170,-1,0,Dreckschleuder
369,0171,-1,0,Steinwurf
370,0172,-1,0,Bombardierung
371,0173,-1,0,Verseuchung
372,0174,-1,0,Abraumhalde
373,0175,-1,0,Salto Mortale
374,0176,-1,0,Nussschale
375,0177,-1,0,Nussschale
376,0178,-1,0,Nussschale
377,0179,-1,0,Flinkes Getrippel
378,017A,-1,0,Blutsauger
379,017B,-1,0,Ultraschall
380,017C,-1,0,Ultraschall
381,017D,-1,0,Wässriges Exkret
382,017E,-1,0,Klebriges Exkret
383,017F,-1,0,Bitteres Exkret
384,0180,-1,0,Hektische Bewegung
385,0181,-1,0,Hektische Bewegung
386,0182,-1,0,Hektische Bewegung
387,0183,-1,0,Schnappkiefer
388,0184,-1,0,Giftspucke
389,0185,-1,0,Giftspucke
390,0186,-1,0,Mückenbiss
391,0187,-1,0,Blutsauger
392,0188,-1,0,Blutsauger
393,0189,-1,0,Blendender Blitz
394,018A,-1,0,Laues Licht
395,018B,-1,0,Zauberbann
396,018C,-1,0,Zellfadenpeitsche
397,018D,-1,0,Vomitio-Wolke
398,018E,-1,0,Schlummerwolke
399,018F,-1,0,Herumtollen
400,0190,-1,0,Ekstatischer Tanz
401,0191,-1,0,Treibfäustel
402,0192,-1,0,Hast
403,0193,-1,0,Fortis
404,0194,-1,0,Celeris
405,0195,-1,0,Bombenwurf
406,0196,-1,0,Bombenwurf
407,0197,-1,0,Böllerschauer
408,0198,-1,0,Wildes Rattern
409,0199,-1,0,Tropfender Zahn
410,019A,-1,0,Versteinernder Blick
411,019B,-1,0,Rückwärtssalto
412,019C,-1,0,Schwanzjagd
413,019D,-1,0,Feuerball
414,019E,-1,0,Zerbombung
415,019F,-1,0,Schmetterpeitsche
416,01A0,-1,0,Goldzunge
417,01A1,-1,0,Schildkröten-Stampfer
418,01A2,-1,0,Harte Schale
419,01A3,-1,0,Rumpfschnitt
420,01A4,-1,0,Wetzstein
421,01A5,-1,0,Zornesschlag
422,01A6,-1,0,Volltreffer
423,01A7,-1,0,Kommender Sturm
424,01A8,-1,0,Flinke Federn
425,01A9,-1,0,Reflektion
426,01AA,-1,0,Feuerrune
427,01AB,-1,0,Eisrune
428,01AC,-1,0,Windrune
429,01AD,-1,0,Erdrune
430,01AE,-1,0,Blitzrune
431,01AF,-1,0,Wasserrune
432,01B0,-1,0,Aussaugen
440,01B8,-1,0,Baldachin
441,01B9,-1,0,Arboretum Der Agonie
442,01BA,-1,0,Eichelbombe
443,01BB,-1,0,Felsschädel
444,01BC,-1,0,Brockenklatscher
445,01BD,-1,0,Splittstrahl
446,01BE,-1,0,Blitzodem
447,01BF,-1,0,Erscheinung
448,01C0,-1,0,Wasserodem
449,01C1,-1,0,Greller Schein
450,01C2,-1,0,Unheimliche Aura
451,01C3,-1,0,Attacke
452,01C4,-1,0,Versengen
453,01C5,-1,0,Einäschern
454,01C6,-1,0,Feuerstoß
455,01C7,-1,0,Eruption
456,01C8,-1,0,Scheiterhaufen
457,01C9,-1,0,Zinnober-Zyklon
458,01CA,-1,0,Höllenfeuer
459,01CB,-1,0,イフリート：ジャンプ
460,01CC,-1,0,イフリート：着地
461,01CD,-1,0,イフリート：炎獄の楔召喚
462,01CE,-1,0,イフリート：角復活
463,01CF,-1,0,イフリート：怒りオン
464,01D0,-1,0,炎獄の楔：出現
465,01D1,-1,0,炎獄の楔：死亡
474,01DA,-1,0,Barbarenzorn
475,01DB,-1,0,Dreifachdrohung
476,01DC,-1,0,Beinarbeit
477,01DD,-1,0,Aufschlitzen
478,01DE,-1,0,Hinterholz
479,01DF,-1,0,Absteigender Ast
480,01E0,-1,0,Photosynthese
481,01E1,-1,0,Photorespiration
482,01E2,-1,0,Plattensprenger
483,01E3,-1,0,Erdrutsch
484,01E4,-1,0,Kalzifikation
485,01E5,-1,0,汎用：詩人技：回避アップ歌
486,01E6,-1,0,汎用：詩人技：攻撃アップ歌
487,01E7,-1,0,汎用：詩人技：防御アップ歌
488,01E8,-1,0,Giftige Berührung
489,01E9,-1,0,Süßer Stahl
490,01EA,-1,0,Verwüsten
491,01EB,-1,0,Erzürnen
492,01EC,-1,0,Knieschuss
493,01ED,-1,0,汎用：巴術技：単体スロウ
494,01EE,-1,0,汎用：巴術技：単体防御DOWN
495,01EF,-1,0,Verwirrung
496,01F0,-1,0,Sandwerfer
497,01F1,-1,0,Bodenwelle
498,01F2,-1,0,Kalter Blick
499,01F3,-1,0,Versteinernder Blick
500,01F4,-1,0,Amoklauf
501,01F5,-1,0,50 Nadeln
502,01F6,-1,0,100 Nadeln
503,01F7,-1,0,1000 Nadeln
504,01F8,-1,0,Hammerschnabel
505,01F9,-1,0,Petri-Atem
506,01FA,-1,0,Betäubungsatem
507,01FB,-1,0,Gift-Atem
508,01FC,-1,0,Schlummer-Atem
509,01FD,-1,0,Geheul
510,01FE,-1,0,Fäulnisbiss
511,01FF,-1,0,Vampirbiss
512,0200,-1,0,Blick Der Verdammnis
513,0201,-1,0,Blick Des Grauens
514,0202,-1,0,Petrifikation Stufe 5
515,0203,-1,0,Vulkanisieren
516,0204,-1,0,Zerschmettern
517,0205,-1,0,Brennender Zyklon
518,0206,-1,0,Blitzschauer
519,0207,-1,0,Blitzklauen
520,0208,-1,0,Kopfstoß
521,0209,-1,0,Seismischer Schrei
522,020A,-1,0,Lanolin
523,020B,-1,0,Fangkiefer
524,020C,-1,0,Säure
525,020D,-1,0,Bohrkanone
526,020E,-1,0,Cermet-Bohrer
527,020F,-1,0,Überladung
528,0210,-1,0,Sandatem
529,0211,-1,0,Sandsturm
530,0212,-1,0,Gift-Atem
531,0213,-1,0,Erdbrecher
532,0214,-1,0,Erdbeben
533,0215,-1,0,Sandsäule
534,0216,-1,0,Großschwert
535,0217,-1,0,Großschlag
536,0218,-1,0,Disruptor
537,0219,-1,0,Magitek-Laser
538,021A,-1,0,Überhitzung
539,021B,-1,0,Exhaustor
540,021C,-1,0,Magitek-Feld
541,021D,-1,0,Verbeißen
542,021E,-1,0,Salzspritzer
543,021F,-1,0,Schlammspritzer
544,0220,-1,0,Fressrausch
545,0221,-1,0,Zermalmender Tritt
546,0222,-1,0,Seismischer Bruch
547,0223,-1,0,Seismischer Bruch
548,0224,-1,0,Khoomii
549,0225,-1,0,Sonorer Knall
550,0226,-1,0,Encierro
551,0227,-1,0,Erdmantel
552,0228,-1,0,Stachelstrom
553,0229,-1,0,Titans Huld
554,022A,-1,0,Titans Zorn
555,022B,-1,0,Wasserpistole
556,022C,-1,0,Wasserbombe
557,022D,-1,0,Erodieren
558,022E,-1,0,Maulschnapper
559,022F,-1,0,Drachenatem
560,0230,-1,0,Granitregen
561,0231,-1,0,Rundumschlag
562,0232,-1,0,Erdsenger
563,0233,-1,0,Toxischer Auswurf
564,0234,-1,0,Himmelsturz
565,0235,-1,0,カラードラゴン：飛び立ち消滅
566,0236,-1,0,Blubberblasen
567,0237,-1,0,Riesenschere
568,0238,-1,0,Schaumbad
569,0239,-1,0,Krabbengang
570,023A,-1,0,Picken
571,023B,-1,0,Fauliger Furz
572,023C,-1,0,Ranziger Rülpser
573,023D,-1,0,Spucksardine
574,023E,-1,0,Hervorwürgen
575,023F,-1,0,Prankenhieb
576,0240,-1,0,Inhalieren
577,0241,-1,0,Schlucken
578,0242,-1,0,Spucken
579,0243,-1,0,Schimmliger Nieser
580,0244,-1,0,Erkälteter Nieser
581,0245,-1,0,Schwarzes Loch
582,0246,-1,0,Wurmloch
583,0247,-1,0,Schiefer Blick
584,0248,-1,0,Verrottender Atem
585,0249,-1,0,Fluch
586,024A,-1,0,Boshaftigkeit
587,024B,-1,0,Durchdringung
588,024C,-1,0,Paralysetentakel
589,024D,-1,0,Nesseltentakel
590,024E,-1,0,Geblöke
591,024F,-1,0,Vliesabreibung
592,0250,-1,0,Schaflied
593,0251,-1,0,Süßer Duft
594,0252,-1,0,Schrei
595,0253,-1,0,Zermatschen
596,0254,-1,0,Barbarisches Brüllen
597,0255,-1,0,ドラゴン毒沼：発生ループ
598,0256,-1,0,ドラゴン毒沼：消滅
599,0257,-1,0,Aqua Vitae
600,0258,-1,0,Knochenzerstampfer
601,0259,-1,0,Schnabelhieb
602,025A,-1,0,Schriller Schrei
603,025B,-1,0,Nervtötender Schrei
604,025C,-1,0,Schlechter Atem
605,025D,-1,0,Süßlicher Atem
606,025E,-1,0,Rankenstich
607,025F,-1,0,Abwehrmanöver
608,0260,-1,0,Zerspanen
609,0261,-1,0,Die Hand
610,0262,-1,0,Todesgriff
611,0263,-1,0,デスクロー：デスクロー解除
612,0264,-1,0,Gerade
613,0265,-1,0,Rippenstoß
614,0266,-1,0,Sodbrennen
615,0267,-1,0,Geistesabwesenheit
616,0268,-1,0,Heiße Hände
617,0269,-1,0,Heiße Hörner
618,026A,-1,0,Schmetterfäuste
619,026B,-1,0,Giftiger Schweif
620,026C,-1,0,Grausamer Schlitzer
621,026D,-1,0,Grollschein
622,026E,-1,0,Desolation
623,026F,-1,0,Botschaft Der Hölle
624,0270,-1,0,Bitteres Los
625,0271,-1,0,10-Tonzen-Hieb
626,0272,-1,0,10-Tonzen-Schwung
627,0273,-1,0,100-Tonzen-Hieb
628,0274,-1,0,100-Tonzen-Schwung
629,0275,-1,0,Finsterer Blick
630,0276,-1,0,Tierischer Instinkt
631,0277,-1,0,Auge Des Betrachters
632,0278,-1,0,Lodernde Schuppen
641,0281,-1,0,Steinsprenger
642,0282,-1,0,Urerschütterung
643,0283,-1,0,Bergsprenger
644,0284,-1,0,Gaias Gewicht
645,0285,-1,0,Granitgefängnis
646,0286,-1,0,Latomie
647,0287,-1,0,Grausamer Schlitzer
648,0288,-1,0,Bitteres Los
649,0289,-1,0,Desolation
650,028A,-1,0,Bergsturz
651,028B,-1,0,Geo-Stoß
652,028C,-1,0,Gaias Zorn
653,028D,-1,0,タイタン：心臓露出
654,028E,-1,0,タイタン：飛ぶ
655,028F,-1,0,タイタン：着地する
656,0290,-1,0,Windklinge
657,0291,-1,0,Fallböe
658,0292,-1,0,Rad Der Bosheit
659,0293,-1,0,Wirbelströmung
660,0294,-1,0,Mistral-Song
661,0295,-1,0,Mistral-Schrei
662,0296,-1,0,Windschlag
663,0297,-1,0,Windhose
664,0298,-1,0,Auge Des Sturms
665,0299,-1,0,Federlanze
666,029A,-1,0,Frühlingswind
667,029B,-1,0,Mistral-Song
668,029C,-1,0,Mirage
669,029D,-1,0,Wildes Rattern
670,029E,-1,0,Höllenschmelze
671,029F,-1,0,Wirbelsturm
672,02A0,-1,0,Giftiger Schweif
673,02A1,-1,0,Elektromagnetismus
674,02A2,-1,0,Attacke
675,02A3,-1,0,Feuerstrom
676,02A4,-1,0,Flammenatem
677,02A5,-1,0,Selbstzerstörung
678,02A6,-1,0,Selbstzerstörung
679,02A7,-1,0,Mana-Kanone
680,02A8,-1,0,Ausradieren
681,02A9,-1,0,Augen Auf Mich
682,02AA,-1,0,Attacke
683,02AB,-1,0,Kalkatem
684,02AC,-1,0,ヒュドラ：首再生
685,02AD,-1,0,Feuerball
686,02AE,-1,0,Feuerball
687,02AF,-1,0,Eisball
688,02B0,-1,0,Eisball
689,02B1,-1,0,Strahlenatem
690,02B2,-1,0,Staupenschlag
691,02B3,-1,0,Kannibalismus
692,02B4,-1,0,Kolossaler Schlag
693,02B5,-1,0,ヘカトンケイルリーダー：壁殴り
694,02B6,-1,0,Immortalisieren
695,02B7,-1,0,ヘカトンケイルメイジ：壁殴り
696,02B8,-1,0,汎用：逃げる
697,02B9,-1,0,Erderschütterer
698,02BA,-1,0,Klebriger Faden
699,02BB,-1,0,蜘蛛：コチュー落下予兆
700,02BC,-1,0,蜘蛛：コチュー落下
701,02BD,-1,0,Seidenschirm
702,02BE,-1,0,Tödliche Durchbohrung
703,02BF,-1,0,蜘蛛：毒エリア
704,02C0,-1,0,Häutung
705,02C1,-1,0,Schattenhauch
706,02C2,-1,0,Nichtslicht
707,02C3,-1,0,Nichtsfeuer
708,02C4,-1,0,ヒュドラ：右側首A破壊
709,02C5,-1,0,ヒュドラ：右側首B破壊
710,02C6,-1,0,ヒュドラ：左側首A破壊
711,02C7,-1,0,ヒュドラ：左側首B破壊
712,02C8,-1,0,ヒュドラ：右側首A復活
713,02C9,-1,0,ヒュドラ：右側首B復活
714,02CA,-1,0,ヒュドラ：左側首A復活
715,02CB,-1,0,ヒュドラ：左側首B復活
716,02CC,-1,0,Wütende Attacke
717,02CD,-1,0,Vortexschnitt
718,02CE,-1,0,Schildschlag
719,02CF,-1,0,Sentinel
720,02D0,-1,0,Kahlrodung
721,02D1,-1,0,Leichtfuß
722,02D2,-1,0,Sauberer Stoß
723,02D3,-1,0,Sternenhagel
724,02D4,-1,0,Verdauen
725,02D5,-1,0,Einspeicheln
726,02D6,-1,0,Einspeicheln
727,02D7,-1,0,Einspeicheln
728,02D8,-1,0,Einspeicheln
729,02D9,-1,0,汎用：詩人技：ヘヴィショット
730,02DA,-1,0,Platzende Schote
731,02DB,-1,0,Blutsauger
732,02DC,-1,0,Seidige Finger
733,02DD,-1,0,Eruption
734,02DE,-1,0,Scheiterhaufen
735,02DF,-1,0,Miasma-Atem
736,02E0,-1,0,Dunkle Welle
737,02E1,-1,0,Anfallen
738,02E2,-1,0,Elektrische Velitation
739,02E3,-1,0,Blutklaue
740,02E4,-1,0,Terrorauge
741,02E5,-1,0,Triumphgeheul
742,02E6,-1,0,Schwarzer Reigen
743,02E7,-1,0,Dreckschleuder
744,02E8,-1,0,Hast
745,02E9,-1,0,Dunkler Dorn
746,02EA,-1,0,Seelenertränker
749,02ED,-1,0,Apokalypse
750,02EE,-1,0,Böses Auge
751,02EF,-1,0,Chaos-Atem
758,02F6,-1,0,Schwarze Wolke
759,02F7,-1,0,Erstickte Düsternis
760,02F8,-1,0,Wolkenpeitsche
762,02FA,-1,0,Zwielichtklinge
763,02FB,-1,0,Schuldspruch
764,02FC,-1,0,Detonation
765,02FD,-1,0,Fulmination
766,02FE,-1,0,Entladung
767,02FF,-1,0,Entladung
768,0300,-1,0,Komet
769,0301,-1,0,Kosmos-Splitter
770,0302,-1,0,Donnerkeil
771,0303,-1,0,Charybdis
772,0304,-1,0,Charybdis
773,0305,-1,0,Wildes Horn
774,0306,-1,0,ベヒーモス：二本足
775,0307,-1,0,Fetzenreißer
776,0308,-1,0,Ekliptik-Meteor
777,0309,-1,0,Attacke
778,030A,-1,0,Gungnir
779,030B,-1,0,Dunkle Zügel
780,030C,-1,0,Zantetsuken
781,030D,-1,0,Halle Des Steins
782,030E,-1,0,Halle Des Schmerzes
783,030F,-1,0,Valknut
784,0310,-1,0,Halle Der Stille
785,0311,-1,0,Einherjar
786,0312,-1,0,Welle Der Düsternis
817,0331,-1,0,Chocobo-Schlag
818,0332,-1,0,Chocobo-Block
819,0333,-1,0,Chocobo-Tritt
820,0334,-1,0,Chocobo-Faller
821,0335,-1,0,Chocobo-Knall
822,0336,-1,0,Chocobo-Rausch
823,0337,-1,0,Chocobo-Schnabel
824,0338,-1,0,Chocobo-Hieb
825,0339,-1,0,Chocobo-Reseda
826,033A,-1,0,Chocobo-Quelle
827,033B,-1,0,Chocobo-Vita
828,033C,-1,0,Chocobo-Regena
829,033D,-1,0,100 Fäuste
830,033E,-1,0,汎用：絶対回避
831,033F,-1,0,コボルド：大型爆弾
832,0340,-1,0,コボルド：範囲被ダメージカット
833,0341,-1,0,コボルド：範囲被ダメージカット強
834,0342,-1,0,Sprungattacke
835,0343,-1,0,Hinterhalt
836,0344,-1,0,シュポシェ池：出現予兆
837,0345,-1,0,シュポシェ池：予兆解除
838,0346,-1,0,シュポシェ池：出現
839,0347,-1,0,Detonation
840,0348,-1,0,Massive Detonation
854,0356,-1,0,Nichts-Feuga
