ID,ID_HEX,ClassJob,ClassJobCategory,Name
8,0008,0,0,Tir à L'arc
10,000A,-1,0,Rempart
12,000C,-1,0,Convalescence
13,000D,-1,0,Diligence
18,0012,-1,0,Provocation
32,0020,-1,0,Aguet
33,0021,-1,0,Fracture
34,0022,-1,0,Bain De Sang
36,0024,-1,0,Coup De Grâce
39,0027,-1,0,Swing Brutal
55,0037,-1,0,Pieds Légers
57,0039,-1,0,Second Souffle
58,003A,-1,0,Haymaker
68,0044,-1,0,Toucher Mortel
76,004C,-1,0,Feinte
77,004D,-1,0,Volée Défensive
80,0050,-1,0,Motivation
82,0052,-1,0,Balayette
89,0059,-1,0,Anneau De Ronces
91,005B,-1,0,Double Percée
93,005D,-1,0,Souffle De Puissance
99,0063,-1,0,Œil De Faucon
102,0066,-1,0,Flèche Enflammée
104,0068,-1,0,Frappe Silencieuse
105,0069,-1,0,Chant Rapide
108,006C,-1,0,Entrave D'ombre
109,006D,-1,0,Flèche Traumatisante
111,006F,-1,0,Rafale Impitoyable
122,007A,-1,0,Prestance Du Prêtre
123,007B,-1,0,Bouclier
126,007E,-1,0,Guérison
129,0081,-1,0,Cuirasse
130,0082,-1,0,Voile Des Saints
138,008A,-1,0,Sceau Divin
143,008F,-1,0,Stoïcisme
148,0094,-1,0,Extra Foudre
150,0096,-1,0,Magie Prompte
151,0097,-1,0,Léthargie
160,00A0,-1,0,Apocatastase
161,00A1,-1,0,Mur De Mana
169,00A9,-1,0,Virus
175,00AF,-1,0,Œil Pour œil
183,00B7,-1,0,Encouragement
187,00BB,-1,0,Loi De Purification
191,00BF,-1,0,Extra Cuirasse
196,00C4,-1,0,反撃効果
209,00D1,-1,0,Transcendance
307,0133,-1,0,Silence
308,0134,-1,0,Paralysie
309,0135,-1,0,Hâte
310,0136,-1,0,Lenteur
311,0137,-1,0,Pointes De Feu
312,0138,-1,0,Pointes De Glace
313,0139,-1,0,Pointes De Foudre
314,013A,-1,0,Cuirasse Physique
315,013B,-1,0,Cuirasse Magique
316,013C,-1,0,Cuirasse
317,013D,-1,0,Haleine Fétide
318,013E,-1,0,Souffle Glacé
319,013F,-1,0,Coup De Sabot
320,0140,-1,0,Débandade
321,0141,-1,0,Grandes Cornes
322,0142,-1,0,Jet De Pierre
323,0143,-1,0,Frottement Salissant
324,0144,-1,0,Griffure Profonde
325,0145,-1,0,Coup De Tonnerre
326,0146,-1,0,Tempête De Foudre
327,0147,-1,0,Toile Gluante
328,0148,-1,0,Aspersion Caustique
329,0149,-1,0,Transpercement Mortel
330,014A,-1,0,Transpercement Mortel
331,014B,-1,0,Aile Tranchante
332,014C,-1,0,Croassement Glaçant
333,014D,-1,0,Lâcher D'œuf
334,014E,-1,0,Charge Porcine
335,014F,-1,0,Hérissement
336,0150,-1,0,Grognement Puissant
337,0151,-1,0,Auto-destruction
338,0152,-1,0,Ignition
339,0153,-1,0,Déflagration
340,0154,-1,0,Mortification
341,0155,-1,0,Taillade Infernale
342,0156,-1,0,Aspiration D'âme
343,0157,-1,0,Glas
344,0158,-1,0,Volée De Graines
345,0159,-1,0,Murmure Amer
346,015A,-1,0,Murmure Rapide
347,015B,-1,0,Langue Poisseuse
348,015C,-1,0,Sécrétion Gluante
349,015D,-1,0,Lapement Alangui
350,015E,-1,0,Micro électrochoc
351,015F,-1,0,Poil Survolté
352,0160,-1,0,Œil Du Chaos
353,0161,-1,0,Électrochoc
354,0162,-1,0,Curiosité
355,0163,-1,0,Méga électrochoc
356,0164,-1,0,Justice De Fer
357,0165,-1,0,Volonté Du Roi
358,0166,-1,0,Lame De Souffrance
359,0167,-1,0,Lame D'absolution
360,0168,-1,0,Lame De Repentir
361,0169,-1,0,Lame Plate
362,016A,-1,0,Explosion Mentale
363,016B,-1,0,Toucher Aspirant
364,016C,-1,0,Brume Acide
365,016D,-1,0,Brume Acide
366,016E,-1,0,Brume Acide
367,016F,-1,0,Brume Acide
368,0170,-1,0,Jet De Boue
369,0171,-1,0,Jet De Pierre
370,0172,-1,0,Bombardier
371,0173,-1,0,Infestation
372,0174,-1,0,Pourrissement
373,0175,-1,0,Pirouette Tranchante
374,0176,-1,0,Coquille
375,0177,-1,0,Coquille
376,0178,-1,0,Coquille
377,0179,-1,0,Trottinement
378,017A,-1,0,Suceur De Sang
379,017B,-1,0,Ultrasons
380,017C,-1,0,Ultrasons
381,017D,-1,0,Décharge Aqueuse
382,017E,-1,0,Décharge Visqueuse
383,017F,-1,0,Décharge Glaireuse
384,0180,-1,0,Agitation
385,0181,-1,0,Agitation
386,0182,-1,0,Agitation
387,0183,-1,0,Mâchoire Claquante
388,0184,-1,0,Crachat Corrosif
389,0185,-1,0,Crachat Corrosif
390,0186,-1,0,Probiscis
391,0187,-1,0,Suceur De Sang
392,0188,-1,0,Suceur De Sang
393,0189,-1,0,Explosion Aveuglante
394,018A,-1,0,Lumière Lénifiante
395,018B,-1,0,Membres De Plomb
396,018C,-1,0,Hyphe Fouettante
397,018D,-1,0,Nuage Nauséeux
398,018E,-1,0,Nuage Soporifique
399,018F,-1,0,Cabrioles
400,0190,-1,0,Gigue Endiablée
401,0191,-1,0,Frénésie Furieuse
402,0192,-1,0,Hâte
403,0193,-1,0,Fortis
404,0194,-1,0,Celeris
405,0195,-1,0,Lancer De Bombe
406,0196,-1,0,Lancer De Bombe
407,0197,-1,0,Pluie De Pétards
408,0198,-1,0,Crécelle Sauvage
409,0199,-1,0,Croc Empoisonné
410,019A,-1,0,Regard Pétrifiant
411,019B,-1,0,Flip Ailé
412,019C,-1,0,Chasse-queue
413,019D,-1,0,Boule De Feu
414,019E,-1,0,Vrombissement
415,019F,-1,0,Claquement De Fouet
416,01A0,-1,0,Langue Dorée
417,01A1,-1,0,Démarche De Tortue
418,01A2,-1,0,Durcissement De Coquille
419,01A3,-1,0,Entaille Latérale
420,01A4,-1,0,Pierre à Aiguiser
421,01A5,-1,0,Coup De Rage
422,01A6,-1,0,Grande Claque
423,01A7,-1,0,Tempête Proche
424,01A8,-1,0,Bourrasque Véloce
425,01A9,-1,0,Reflet
426,01AA,-1,0,EndoFeu
427,01AB,-1,0,EndoGlace
428,01AC,-1,0,EndoVent
429,01AD,-1,0,EndoTerre
430,01AE,-1,0,EndoFoudre
431,01AF,-1,0,EndoEau
432,01B0,-1,0,Drain
440,01B8,-1,0,Canopée
441,01B9,-1,0,Tempête Arboricole
442,01BA,-1,0,Gland Explosif
443,01BB,-1,0,Crâne De Pierre
444,01BC,-1,0,Claquement De Rochers
445,01BD,-1,0,Gravillonnage
446,01BE,-1,0,Souffle Du Dragon
447,01BF,-1,0,Apparition
448,01C0,-1,0,Eau Stagnante
449,01C1,-1,0,Lumière Inquiétante
450,01C2,-1,0,Lumière Sinistre
451,01C3,-1,0,Attaque
452,01C4,-1,0,Carbonisation
453,01C5,-1,0,Incinération
454,01C6,-1,0,Explosion Volcanique
455,01C7,-1,0,Éruption
456,01C8,-1,0,Panache Radiant
457,01C9,-1,0,Cyclone écarlate
458,01CA,-1,0,Flammes De L'enfer
459,01CB,-1,0,イフリート：ジャンプ
460,01CC,-1,0,イフリート：着地
461,01CD,-1,0,イフリート：炎獄の楔召喚
462,01CE,-1,0,イフリート：角復活
463,01CF,-1,0,イフリート：怒りオン
464,01D0,-1,0,炎獄の楔：出現
465,01D1,-1,0,炎獄の楔：死亡
474,01DA,-1,0,Ardeur Barbare
475,01DB,-1,0,Triple Menace
476,01DC,-1,0,Jeu De Jambes
477,01DD,-1,0,Étripement
478,01DE,-1,0,Revers De Branche
