ID,NameEn,Name
1,The Thousand Maws Of Toto-Rak,監獄廃墟 トトラクの千獄
2,The Tam-Tara Deepcroft,地下霊殿 タムタラの墓所
3,Copperbell Mines,封鎖坑道 カッパーベル銅山
4,Sastasha,天然要害 サスタシャ浸食洞
5,The Aurum Vale,霧中行軍 オーラムヴェイル
6,Haukke Manor,名門屋敷 ハウケタ御用邸
7,Halatali,魔獣領域 ハラタリ修練所
8,Brayflox's Longstop,奪還支援 ブレイフロクスの野営地
9,The Sunken Temple Of Qarn,遺跡探索 カルン埋没寺院
10,The Wanderer's Palace,旅神聖域 ワンダラーパレス
11,The Stone Vigil,城塞攻略 ストーンヴィジル
12,Cutter's Cry,流砂迷宮 カッターズクライ
13,Dzemael Darkhold,掃討作戦 ゼーメル要塞
14,Amdapor Keep,邪教排撃 古城アムダプール
15,Castrum Meridianum,外郭攻略 カストルム・メリディアヌム
16,The Praetorium,最終決戦 魔導城プラエトリウム
17,Pharos Sirius,怪鳥巨塔 シリウス大灯台
18,Copperbell Mines (Hard),騒乱坑道 カッパーベル銅山 (Hard)
19,Haukke Manor (Hard),妖異屋敷 ハウケタ御用邸 (Hard)
20,Brayflox's Longstop (Hard),盟友支援 ブレイフロクスの野営地 (Hard)
21,Halatali (Hard),剣闘領域 ハラタリ修練所 (Hard)
22,The Lost City Of Amdapor,腐敗遺跡 古アムダプール市街
23,Hullbreaker Isle,財宝伝説 ハルブレーカー・アイル
24,The Tam-Tara Deepcroft (Hard),惨劇霊殿 タムタラの墓所 (Hard)
25,The Stone Vigil (Hard),城塞奪回 ストーンヴィジル (Hard)
26,The Sunken Temple Of Qarn (Hard),遺跡救援 カルン埋没寺院 (Hard)
27,Snowcloak,氷結潜窟 スノークローク大氷壁
28,Sastasha (Hard),逆襲要害 サスタシャ浸食洞 (Hard)
29,Amdapor Keep (Hard),邪念排撃 古城アムダプール (Hard)
30,The Wanderer's Palace (Hard),武装聖域 ワンダラーパレス (Hard)
