ID,NameEn,Name
1,The Thousand Maws Of Toto-Rak,Les Mille Gueules De Toto-Rak
2,The Tam-Tara Deepcroft,L'Hypogée De Tam-Tara
3,Copperbell Mines,Les Mines De Clochecuivre
4,Sastasha,Sastasha
5,The Aurum Vale,Le Val D'Aurum
6,Haukke Manor,Le Manoir Des Haukke
7,Halatali,Halatali
8,Brayflox's Longstop,Le Bivouac De Brayflox
9,The Sunken Temple Of Qarn,Le Temple Enseveli De Qarn
10,The Wanderer's Palace,Le Palais Du Vagabond
11,The Stone Vigil,Le Vigile De Pierre
12,Cutter's Cry,Le Gouffre Hurlant
13,Dzemael Darkhold,La Forteresse De Dzemael
14,Amdapor Keep,Le Château D'Amdapor
15,Castrum Meridianum,Castrum Meridianum
16,The Praetorium,Le Praetorium
17,Pharos Sirius,Le Phare De Sirius
18,Copperbell Mines (Hard),Les Mines De Clochecuivre (brutal)
19,Haukke Manor (Hard),Le Manoir Des Haukke (brutal)
20,Brayflox's Longstop (Hard),Le Bivouac De Brayflox (brutal)
21,Halatali (Hard),Halatali (brutal)
22,The Lost City Of Amdapor,Les Vestiges De La Cité D'Amdapor
23,Hullbreaker Isle,L'Île De Crèvecarène
24,The Tam-Tara Deepcroft (Hard),L'Hypogée De Tam-Tara (brutal)
25,The Stone Vigil (Hard),Le Vigile De Pierre (brutal)
26,The Sunken Temple Of Qarn (Hard),Le Temple Enseveli De Qarn (brutal)
27,Snowcloak,Manteneige
28,Sastasha (Hard),Sastasha (brutal)
29,Amdapor Keep (Hard),Le Château D'Amdapor (brutal)
30,The Wanderer's Palace (Hard),Le Palais Du Vagabond (brutal)
31,The Great Gubal Library,La Grande Bibliothèque De Gubal
32,The Keeper Of The Lake,Le Gardien Du Lac
33,Neverreap,Nalloncques
34,The Vault,La Voûte
35,The Fractal Continuum,Le Continuum Fractal
36,The Dusk Vigil,Le Vigile Du Crépuscule
37,Sohm Al,Sohm Al
38,The Aetherochemical Research Facility,Le Laboratoire De Magismologie
39,The Aery,L'Aire
40,Pharos Sirius (Hard),Le Phare De Sirius (brutal)
41,Saint Mocianne's Arboretum,L'Arboretum Sainte-Mocianne
42,The Lost City Of Amdapor (Hard),Les Vestiges De La Cité D'Amdapor (brutal)
43,The Antitower,L'Antitour
44,Sohr Khai,Sohr Khai
45,Hullbreaker Isle (Hard),L'Île De Crèvecarène (brutal)
46,Xelphatol,Xelphatol
47,The Great Gubal Library (Hard),La Grande Bibliothèque De Gubal (brutal)
48,Baelsar's Wall,La Muraille De Baelsar
49,Sohm Al (Hard),Sohm Al (brutal)
50,Shisui Of The Violet Tides,Le Palais Aux Marées Violettes
51,The Temple Of The Fist,Le Temple Du Poing
52,The Sirensong Sea,La Mer Du Chant Des Sirènes
53,Bardam's Mettle,La Force De Bardam
54,Doma Castle,Le Château De Doma
55,Castrum Abania,Castrum Abania
56,Ala Mhigo,Ala Mhigo
57,Kugane Castle,Le Château De Kugane
58,The Drowned City Of Skalla,La Cité Engloutie De Skalla
59,Hells' Lid,Le Couvercle Des Enfers
60,The Fractal Continuum (Hard),Le Continuum Fractal (brutal)
61,The Swallow's Compass,Le Compas De L'Hirondelle
5001,A Spectacle For The Ages,La Grande Manœuvre éorzéenne
5002,A Bloody Reunion,Course-poursuite Dans Le Laboratoire
5003,One Life For One World,Destins Entrecroisés
5004,The Carteneau Flats: Heliodrome,Rixe à L'Héliodrome
5005,It's Probably A Trap,Un Drôle De Namazu
5006,In Thal's Name,Le Tournoi Commémoratif Du Sultanat
5007,With Heart And Steel,Transmigration Démoniaque
5008,Naadam,La Grande Bataille Du Naadam
5009,Blood On The Deck,La Légende De Musosai: L'assassin De Limsa Lominsa
5010,The Face Of True Evil,L'abominable Kogarashi
5011,Matsuba Mayhem,Règlement De Compte Au Square Matsuba
5012,The Battle On Bekko,L'affrontement De Deux Justices
5013,Curious Gorge Meets His Match,L'épreuve De Force
5014,Our Unsung Heroes,L'espoir En Héritage
5015,The Heart Of The Problem,Passion Guerrière
5016,Darkwing Dragon,Aussi Sombre Que La Nuit
5017,The Resonant,La Ruse D'Urianger
5018,Raising The Sword,La Finale Des Champions
5019,The Orphans And The Broken Blade,L'aspiration Refoulée
5020,Our Compromise,La Dernière Séparation
5021,Blood Dragoon,Le Dragon écarlate
5022,When Clans Collide,La Bataille Des Clans
5023,Interdimensional Rift,Fissure Interdimensionnelle
5024,Return Of The Bull,Retour Au Bercail
5025,Emissary Of The Dawn,Voyage En Terre Hostile
10001,Basic Training: Enemy Parties,Entraînement: Groupes D'ennemis
10002,Under The Armor,Chasse Au Fantôme Fantoche
10003,Basic Training: Enemy Strongholds,Entraînement: Infiltration En Base Ennemie
10004,Hero On The Half Shell,Reconquête D'une Carapace Escamotée
10005,Pulling Poison Posies,Opération Fleurs Du Mal
10006,Stinging Back,Expédition Punitive Contre Les Ventrerouge
10007,All's Well That Ends In The Well,Briaxio à Bras Raccourcis
10008,Flicking Sticks And Taking Names,Les Gobelins Bombardiers
10009,More Than A Feeler,Sus Au Morbol Pollueur
10010,Annoy The Void,Buso L'immolateur
10011,Shadow And Claw,Ombres Et Griffes
10012,Long Live The Queen,Longue Vie à La Reine
10013,Ward Up,Quintettes Infernaux
10014,Solemn Trinity,Trinité Sinistre
15001,Avoid Area Of Effect Attacks,Éviter Les Attaques à Aire D'effet
15002,Execute A Combo To Increase Enmity,Générer De L'inimitié Avec Un Combo
15003,Execute A Combo In Battle,Effectuer Le Combo En Combat
15004,Accrue Enmity From Multiple Targets,Attirer L'inimitié De Plusieurs Ennemis Sur Soi
15005,Engage Multiple Targets,Affronter Plusieurs Ennemis
15006,Execute A Ranged Attack To Increase Enmity,Générer De L'inimitié à Distance
15007,Engage Enemy Reinforcements,Faire Face à Des Renforts Ennemis
15008,Assist Allies In Defeating A Target,Vaincre Un Ennemi En Assistant Des Alliés
15009,Defeat An Occupied Target,Vaincre Un Ennemi Occupé Par Un Allié
15010,Avoid Engaged Targets,Combattre En évitant Les Attaques Ennemies
15011,Engage Enemy Reinforcements,Éliminer Les Renforts Ennemis
15012,Interact With The Battlefield,Interagir Avec Le Décor En Combat
15013,Heal An Ally,Soigner Un Allié
15014,Heal Multiple Allies,Soigner Plusieurs Alliés
15015,Avoid Engaged Targets,Combattre En évitant Les Attaques Ennemies
15016,Final Exercise,Exercice Final
20001,The Bowl Of Embers,Le Cratère Des Tisons
20002,The Navel,Le Nombril
20003,The Howling Eye,Hurlœil
20004,The Bowl Of Embers (Hard),Le Cratère Des Tisons (brutal)
20005,The Navel (Hard),Le Nombril (brutal)
20006,The Howling Eye (Hard),Hurlœil (brutal)
20007,Cape Westwind,Le Cap Vendouest
20008,The Bowl Of Embers (Extreme),Le Cratère Des Tisons (extrême)
20009,The Navel (Extreme),Le Nombril (extrême)
20010,The Howling Eye (Extreme),Hurlœil (extrême)
20011,Thornmarch (Hard),La Lisière De Ronces (brutal)
20012,Thornmarch (Extreme),La Lisière De Ronces (extrême)
20013,The Minstrel's Ballad: Ultima's Bane,Le Fléau D'Ultima
20014,Special Event I,Défi Spécial III
20015,Special Event II,Défi Spécial I
20016,Special Event III,Défi Spécial II
20017,The Whorleater (Hard),Le Briseur De Marées (brutal)
20018,The Whorleater (Extreme),Le Briseur De Marées (extrême)
20019,A Relic Reborn: The Chimera,La Chimère Dhorme Du Coerthas
20020,A Relic Reborn: The Hydra,L'hydre D'Halatali
20021,Battle On The Big Bridge,Affrontement Sur Le Grand Pont
20022,The Striking Tree (Hard),L'Arbre Du Jugement (brutal)
20023,The Striking Tree (Extreme),L'Arbre Du Jugement (extrême)
20024,Akh Afah Amphitheatre (Hard),L'Amphithéâtre D'Akh Afah (brutal)
20025,Akh Afah Amphitheatre (Extreme),L'Amphithéâtre D'Akh Afah (extrême)
20026,The Dragon's Neck,Le Col Du Dragon
20027,Urth's Fount,La Fontaine D'Urth
20028,The Steps Of Faith,Le Siège De La Sainte Cité D'Ishgard
20029,The Chrysalis,La Chrysalide
20030,Battle In The Big Keep,Revanche Au Vieux Château
20031,Thok Ast Thok (Hard),Thok Ast Thok (brutal)
20032,Thok Ast Thok (Extreme),Thok Ast Thok (extrême)
20033,The Limitless Blue (Hard),L'Immensité Bleue (brutal)
20034,The Limitless Blue (Extreme),L'Immensité Bleue (extrême)
20035,The Singularity Reactor,Le Réacteur De Singularité
20036,The Minstrel's Ballad: Thordan's Reign,Le Règne De Thordan
20037,Containment Bay S1T7,Unité De Contention S1P7
20038,Containment Bay S1T7 (Extreme),Unité De Contention S1P7 (extrême)
20039,The Final Steps Of Faith,La Dernière Avancée De La Foi
20040,The Minstrel's Ballad: Nidhogg's Rage,L'ire De Nidhogg
20041,Containment Bay P1T6,Unité De Contention P1P6
20042,Containment Bay P1T6 (Extreme),Unité De Contention P1P6 (extrême)
20043,Containment Bay Z1T9,Unité De Contention Z1P9
20044,Containment Bay Z1T9 (Extreme),Unité De Contention Z1P9 (extrême)
20045,The Royal Menagerie,La Ménagerie Royale
20046,The Pool Of Tribute,La Crique Aux Tributs
20047,The Pool Of Tribute (Extreme),La Crique Aux Tributs (extrême)
20048,Emanation,Émanation
20049,Emanation (Extreme),Émanation (extrême)
20050,The Minstrel's Ballad: Shinryu's Domain,Le Domaine De Shinryu
20051,The Jade Stoa,La Clairière De Jade
20052,The Jade Stoa (Extreme),La Clairière De Jade (extrême)
20055,Castrum Fluminis,Castrum Fluminis
20056,The Minstrel's Ballad: Tsukuyomi's Pain,Castrum Fluminis (extrême)
25001,The Haunted Manor,Le Manoir Hanté
25002,The Valentione's Ceremony,La Cérémonie De La Valention
30001,The Labyrinth Of The Ancients,La Tour De Cristal - Dédale Antique
30002,The Binding Coil Of Bahamut - Turn 1,Le Labyrinthe De Bahamut I
30003,The Binding Coil Of Bahamut - Turn 2,Le Labyrinthe De Bahamut II
30004,The Binding Coil Of Bahamut - Turn 3,Le Labyrinthe De Bahamut III
30005,The Binding Coil Of Bahamut - Turn 4,Le Labyrinthe De Bahamut IV
30006,The Binding Coil Of Bahamut - Turn 5,Le Labyrinthe De Bahamut V
30007,The Second Coil Of Bahamut - Turn 1,Les Méandres De Bahamut I
30008,The Second Coil Of Bahamut - Turn 2,Les Méandres De Bahamut II
30009,The Second Coil Of Bahamut - Turn 3,Les Méandres De Bahamut III
30010,The Second Coil Of Bahamut - Turn 4,Les Méandres De Bahamut IV
30011,Syrcus Tower,La Tour De Cristal - Tour De Syrcus
30012,The Second Coil Of Bahamut (Savage) - Turn 1,Les Méandres De Bahamut I (sadique)
30013,The Second Coil Of Bahamut (Savage) - Turn 2,Les Méandres De Bahamut II (sadique)
30014,The Second Coil Of Bahamut (Savage) - Turn 3,Les Méandres De Bahamut III (sadique)
30015,The Second Coil Of Bahamut (Savage) - Turn 4,Les Méandres De Bahamut IV (sadique)
30016,The Final Coil Of Bahamut - Turn 1,L'Abîme De Bahamut I
30017,The Final Coil Of Bahamut - Turn 2,L'Abîme De Bahamut II
30018,The Final Coil Of Bahamut - Turn 3,L'Abîme De Bahamut III
30019,The Final Coil Of Bahamut - Turn 4,L'Abîme De Bahamut IV
30020,The World Of Darkness,La Tour De Cristal - Monde Des Ténèbres
30021,Alexander - The Fist Of The Father,Alexander - Le Poing Du Père
30022,Alexander - The Cuff Of The Father,Alexander - Le Poignet Du Père
30023,Alexander - The Arm Of The Father,Alexander - Le Bras Du Père
30024,Alexander - The Burden Of The Father,Alexander - Le Fardeau Du Père
30025,Alexander - The Fist Of The Father (Savage),Alexander - Le Poing Du Père (sadique)
30026,Alexander - The Cuff Of The Father (Savage),Alexander - Le Poignet Du Père (sadique)
30027,Alexander - The Arm Of The Father (Savage),Alexander - Le Bras Du Père (sadique)
30028,Alexander - The Burden Of The Father (Savage),Alexander - Le Fardeau Du Père (sadique)
30029,The Void Ark,L'Arche Du Néant
30030,Alexander - The Fist Of The Son,Alexander - Le Poing Du Fils
30031,Alexander - The Cuff Of The Son,Alexander - Le Poignet Du Fils
30032,Alexander - The Arm Of The Son,Alexander - Le Bras Du Fils
30033,Alexander - The Burden Of The Son,Alexander - Le Fardeau Du Fils
30034,Alexander - The Fist Of The Son (Savage),Alexander - Le Poing Du Fils (sadique)
30035,Alexander - The Cuff Of The Son (Savage),Alexander - Le Poignet Du Fils (sadique)
30036,Alexander - The Arm Of The Son (Savage),Alexander - Le Bras Du Fils (sadique)
30037,Alexander - The Burden Of The Son (Savage),Alexander - Le Fardeau Du Fils (sadique)
30038,The Weeping City Of Mhach,La Cité Défendue De Mhach
30039,Alexander - The Eyes Of The Creator,Alexander - Les Yeux Du Créateur
30040,Alexander - The Breath Of The Creator,Alexander - Le Souffle Du Créateur
30041,Alexander - The Heart Of The Creator,Alexander - Le Cœur Du Créateur
30042,Alexander - The Soul Of The Creator,Alexander - L'Âme Du Créateur
30043,Alexander - The Eyes Of The Creator (Savage),Alexander - Les Yeux Du Créateur (sadique)
30044,Alexander - The Breath Of The Creator (Savage),Alexander - Le Souffle Du Créateur (sadique)
30045,Alexander - The Heart Of The Creator (Savage),Alexander - Le Cœur Du Créateur (sadique)
30046,Alexander - The Soul Of The Creator (Savage),Alexander - L'Âme Du Créateur (sadique)
30047,Dun Scaith,Dun Scaith
30049,Deltascape V1.0,Deltastice V1.0
30050,Deltascape V2.0,Deltastice V2.0
30051,Deltascape V3.0,Deltastice V3.0
30052,Deltascape V4.0,Deltastice V4.0
30053,Deltascape V1.0 (Savage),Deltastice V1.0 (sadique)
30054,Deltascape V2.0 (Savage),Deltastice V2.0 (sadique)
30055,Deltascape V3.0 (Savage),Deltastice V3.0 (sadique)
30056,Deltascape V4.0 (Savage),Deltastice V4.0 (sadique)
30057,The Unending Coil Of Bahamut (Ultimate),L'Abîme Infini De Bahamut (fatal)
30058,The Royal City Of Rabanastre,La Cité Royale De Rabanastre
30059,Sigmascape V1.0,Sigmastice V1.0
30060,Sigmascape V2.0,Sigmastice V2.0
30061,Sigmascape V3.0,Sigmastice V3.0
30062,Sigmascape V4.0,Sigmastice V4.0
30063,Sigmascape V1.0 (Savage),Sigmastice V1.0 (sadique)
30064,Sigmascape V2.0 (Savage),Sigmastice V2.0 (sadique)
30065,Sigmascape V3.0 (Savage),Sigmastice V3.0 (sadique)
30066,Sigmascape V4.0 (Savage),Sigmastice V4.0 (sadique)
30067,The Weapon's Refrain (Ultimate),La Fantasmagorie D'Ultima (fatal)
30068,The Ridorana Lighthouse,Le Phare De Ridorana
40001,The Fold,The Fold
40008,The Feast (4 On 4 - Training),The Feast (4x4/entraînement)
40010,The Feast (4 On 4 - Ranked),The Feast (4x4/classé)
40012,★The Feast (4 On 4 - Light Party),★The Feast (4x4/équipe Préformée)
40014,The Feast (Custom Match - Feasting Grounds),The Feast (personnalisé/Festin Des Loups)
40016,The Feast (4 On 4 - Training),The Feast (4x4/entraînement)
40018,The Feast (4 On 4 - Ranked),The Feast (4x4/classé)
40021,The Feast (Custom Match - Lichenweed),The Feast (personnalisé/Pré-de-lichen)
40022,The Feast (Team Ranked),The Feast (classé/équipe JcJ)
40023,The Feast (Ranked),The Feast (classé)
40024,The Feast (Training),The Feast (entraînement)
40025,The Feast (Custom Match - Crystal Tower),The Feast (personnalisé/Tour De Cristal)
40026,The Feast (Team Custom Match - Crystal Tower),The Feast (personnalisé/équipe JcJ/Tour De Cristal)
50001,The Borderland Ruins (Secure),Les Ruines Frontalières (annexion)
50004,Seal Rock (Seize),Le Rocher Des Tréfonds (invasion)
50005,The Fields Of Glory (Shatter),Les Champs De La Gloire (brise-glace)
51001,Astragalos,Astragalos (machinerie)
55001,The Aquapolis,L'Aquapole
55002,The Lost Canals Of Uznair,Les Canaux Perdus D'Uznair
55003,The Hidden Canals Of Uznair,Les Canaux Cachés D'Uznair
60001,The Palace Of The Dead (Floors 1-10),Le Palais Des Morts (sous-sols 1-10)
60002,The Palace Of The Dead (Floors 11-20),Le Palais Des Morts (sous-sols 11-20)
60003,The Palace Of The Dead (Floors 21-30),Le Palais Des Morts (sous-sols 21-30)
60004,The Palace Of The Dead (Floors 31-40),Le Palais Des Morts (sous-sols 31-40)
60005,The Palace Of The Dead (Floors 41-50),Le Palais Des Morts (sous-sols 41-50)
60006,The Palace Of The Dead (Floors 51-60),Le Palais Des Morts (sous-sols 51-60)
60007,The Palace Of The Dead (Floors 61-70),Le Palais Des Morts (sous-sols 61-70)
60008,The Palace Of The Dead (Floors 71-80),Le Palais Des Morts (sous-sols 71-80)
60009,The Palace Of The Dead (Floors 81-90),Le Palais Des Morts (sous-sols 81-90)
60010,The Palace Of The Dead (Floors 91-100),Le Palais Des Morts (sous-sols 91-100)
60011,The Palace Of The Dead (Floors 101-110),Le Palais Des Morts (sous-sols 101-110)
60012,The Palace Of The Dead (Floors 111-120),Le Palais Des Morts (sous-sols 111-120)
60013,The Palace Of The Dead (Floors 121-130),Le Palais Des Morts (sous-sols 121-130)
60014,The Palace Of The Dead (Floors 131-140),Le Palais Des Morts (sous-sols 131-140)
60015,The Palace Of The Dead (Floors 141-150),Le Palais Des Morts (sous-sols 141-150)
