ID,ID_HEX,ClassJob,ClassJobCategory,Name
8,8,0,0,射击
10,000A,-1,0,铁壁
12,000C,-1,0,渐愈
13,000D,-1,0,警觉
18,12,-1,0,挑衅
32,20,-1,0,预见
33,21,-1,0,碎骨打
34,22,-1,0,浴血
36,24,-1,0,慈悲杀
39,27,-1,0,残暴斧
55,37,-1,0,飘羽步
57,39,-1,0,内丹
58,003A,-1,0,闪身拳
68,44,-1,0,秘孔拳
76,004C,-1,0,虚枪
77,004D,-1,0,敏锐
80,50,-1,0,运气
82,52,-1,0,扫堂枪
89,59,-1,0,荆棘环刺
91,005B,-1,0,二重刺
93,005D,-1,0,龙枪
99,63,-1,0,鹰眼
102,66,-1,0,烈火箭
104,68,-1,0,静者强击
105,69,-1,0,敏捷之歌
108,006C,-1,0,定影箭
109,006D,-1,0,迟钝箭
111,006F,-1,0,广域群射
122,007A,-1,0,战姿
123,007B,-1,0,护盾
126,007E,-1,0,康复
129,81,-1,0,石肤
130,82,-1,0,女神的加护
138,008A,-1,0,神封印
143,008F,-1,0,沉稳咏唱
148,94,-1,0,震雷
150,96,-1,0,即刻咏唱
151,97,-1,0,昏沉
160,00A0,-1,0,万有复兴
161,00A1,-1,0,坚壁
169,00A9,-1,0,病毒
175,00AF,-1,0,以眼还眼
183,00B7,-1,0,鞭策
187,00BB,-1,0,生命净化法
191,00BF,-1,0,坚石肤
196,00C4,-1,0,反撃効果
209,00D1,-1,0,极限技
307,133,-1,0,沉默
308,134,-1,0,麻痹
309,135,-1,0,加速
310,136,-1,0,减速
311,137,-1,0,火棘屏障
312,138,-1,0,冰棘屏障
313,139,-1,0,电棘屏障
314,013A,-1,0,物理石肤
315,013B,-1,0,魔法石肤
316,013C,-1,0,石肤
317,013D,-1,0,污浊吐息
318,013E,-1,0,寒霜吐息
319,013F,-1,0,后踢
320,140,-1,0,狂奔
321,141,-1,0,大角
322,142,-1,0,投石
323,143,-1,0,毒手
324,144,-1,0,神偷
325,145,-1,0,闪雷直击
326,146,-1,0,闪雷风暴
327,147,-1,0,黏网
328,148,-1,0,腐蚀喷雾
329,149,-1,0,致命尾刺
330,014A,-1,0,致命尾刺
331,014B,-1,0,飞翼斩
332,014C,-1,0,战栗尖叫
333,014D,-1,0,蛋黄冲击
334,014E,-1,0,横冲直撞
335,014F,-1,0,怒发冲冠
336,150,-1,0,嚎叫
337,151,-1,0,自爆
338,152,-1,0,爆燃
339,153,-1,0,爆轰
340,154,-1,0,苦行
341,155,-1,0,地狱挥
342,156,-1,0,吸魂
343,157,-1,0,死亡宣告
344,158,-1,0,种弹齐射
345,159,-1,0,飒飒酸弹
346,015A,-1,0,飒飒速弹
347,015B,-1,0,滑舌
348,015C,-1,0,黏性分泌物
349,015D,-1,0,倦怠舔舐
350,015E,-1,0,微冲击波
351,015F,-1,0,蓄能晶须
352,160,-1,0,混沌之眼
353,161,-1,0,冲击波
354,162,-1,0,好奇
355,163,-1,0,大冲击波
356,164,-1,0,钢铁正义
357,165,-1,0,圣意
358,166,-1,0,痛苦之刃
359,167,-1,0,赦免之刃
360,168,-1,0,忏悔之刃
361,169,-1,0,平直剑
362,016A,-1,0,精神冲击
363,016B,-1,0,吸血触
364,016C,-1,0,酸雾
365,016D,-1,0,酸雾
366,016E,-1,0,酸雾
367,016F,-1,0,酸雾
368,170,-1,0,迷眼
369,171,-1,0,投石
370,172,-1,0,轰炸
371,173,-1,0,侵扰
372,174,-1,0,腐坏
373,175,-1,0,空翻斩
374,176,-1,0,坚壳防御
375,177,-1,0,坚壳防御
376,178,-1,0,坚壳防御
377,179,-1,0,惊惶
378,017A,-1,0,吸血
379,017B,-1,0,超声波
380,017C,-1,0,超声波
381,017D,-1,0,释放汁液
382,017E,-1,0,释放黏液
383,017F,-1,0,释放忘液
384,180,-1,0,震击
385,181,-1,0,震击
386,182,-1,0,震击
387,183,-1,0,撕咬
388,184,-1,0,溶解液
389,185,-1,0,溶解液
390,186,-1,0,叮咬
391,187,-1,0,吸血
392,188,-1,0,吸血
393,189,-1,0,致盲冲击
394,018A,-1,0,寂静之光
