key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
#,InstanceContentType,WeekRestriction,TimeLimit{min},,BGM,WinBGM,Cutscene,,Order,Colosseum,,InstanceContentTextData{Boss}{Start},InstanceContentTextData{Boss}{End},BNpcBase{Boss},InstanceContentTextData{Objective}{Start},InstanceContentTextData{Objective}{End},SortKey,InstanceClearExp,,NewPlayerBonusA,FinalBossCurrencyC,,FinalBossCurrencyA,FinalBossCurrencyB,NewPlayerBonusB,BossExp[0],BossExp[1],BossExp[2],BossExp[3],BossExp[4],BossCurrencyA[0],BossCurrencyA[1],BossCurrencyA[2],BossCurrencyA[3],BossCurrencyA[4],BossCurrencyB[0],BossCurrencyB[1],BossCurrencyB[2],BossCurrencyB[3],BossCurrencyB[4],BossCurrencyC[0],BossCurrencyC[1],BossCurrencyC[2],BossCurrencyC[3],BossCurrencyC[4],,InstanceClearGil,InstanceContentRewardItem,,FinalBossExp,InstanceContentBuff,ReqInstance,,PartyCondition,,,,,,,
int32,InstanceContentType,byte,uint16,bit&01,BGM,BGM,Cutscene,uint32,uint16,Colosseum,bit&02,InstanceContentTextData,InstanceContentTextData,BNpcBase,InstanceContentTextData,InstanceContentTextData,uint16,uint32,uint32,uint16,uint16,uint32,uint32,uint16,uint16,uint16,uint32,uint32,uint32,uint32,uint32,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint32,InstanceContentRewardItem,uint32,byte,InstanceContentBuff,InstanceContent,uint32,int16,byte,byte,byte,byte,bit&04,uint16,uint16
0,"InstanceContentType#0",0,60,False,"","music/ffxiv/BGM_System_WinLoop.scd","",0,0,"Colosseum#0",False,"","","BNpcBase#0","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",0,100,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
1,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunfst/dunfst1r110/dunfst1r110",2281258,1,"Colosseum#0",False,"","","BNpcBase#444","Photocells","Activate the Fool's Rest terminal",5,3400,4600,0,0,16338,75634,0,0,0,3872,3872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94542,,0,100,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
2,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunfst/dunfst1d110/dunfst1d110",1958540,2,"Colosseum#0",False,"You seem surprised. Did you not cross our gates in search of blood?","Come hither, children of the dawn. The undying master will drink deep tonight!","BNpcBase#73","Cultist rosary","Come hither, children of the dawn. The undying master will drink deep tonight!",2,2600,3500,0,0,9859,45640,0,0,0,1556,1556,1556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57050,,78,100,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
3,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunwil/dunwil1d110/dunwil1d110",2790145,3,"Colosseum#0",False,"MASTERS MUST PAY! MASTERS MUST DIE!","NEVER AGAIN! NEVER!","BNpcBase#101","Six-onze pinches of firesand","NEVER AGAIN! NEVER!",3,2700,3600,0,0,12166,56334,0,0,0,2881,2875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70417,,79,100,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
4,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunsea/dunsea1d110/dunsea1d110",3283219,4,"Colosseum#0",False,"Pshhh! Finleshhh fools!","The Lord of the Whorl shhhall sssup upon your sssouls!","BNpcBase#1206","Activate the coral trigger","The Lord of the Whorl shhhall sssup upon your sssouls!",1,2500,3400,0,0,11701,43815,0,0,0,2240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54769,,6,100,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
5,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunroc/dunroc1r210/dunroc1r210",3619405,5,"Colosseum#0",False,"","","BNpcBase#1532","Breach the Lock","Defeat the morbol bed keepers",12,5700,13000,0,0,60798,187310,0,0,0,17561,26342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234138,,4,100,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
6,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunfst/dunfst1d210/dunfst1d210",3633039,6,"Colosseum#0",False,"","","BNpcBase#422","Tiny Keys","Find the yellow key",6,3800,6300,0,0,19085,88346,0,0,0,4522,4523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110432,,11,100,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
7,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunwil/dunwil1d210/dunwil1d210",4097951,7,"Colosseum#0",False,"","","BNpcBase#1197","Clear the Hall of the Cesti","Clear the Hall of the Secutores",4,3000,4000,0,0,13972,64680,0,0,0,3311,3311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80850,,0,100,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
8,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunsea/dunsea1d210/dunsea1d210",3998421,8,"Colosseum#0",False,"","","BNpcBase#1279","Meet a Longstop ally","Arrive in the heart of the Longstop",7,4200,8000,0,0,23731,109852,0,0,0,5622,5622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137315,,0,100,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
9,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunwil/dunwil1d310/dunwil1d310",4064743,9,"Colosseum#0",False,"","","BNpcBase#1570","Clear the Oratory of Tatamefu II","A statuette has already been placed.",8,4500,9000,0,0,30326,126752,0,0,0,7079,10607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158440,,0,100,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
10,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunsea/dunsea1d310/dunsea1d310",4177426,10,"Colosseum#0",False,"","","BNpcBase#1547","Clear Still Waters","Obtain lantern oil",13,0,0,30,0,36101,0,10,0,0,10433,15886,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,278877,,2,40,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
11,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunroc/dunroc1d110/dunroc1d110",4239689,11,"Colosseum#0",False,"","","BNpcBase#1680","Secure the barbican","Defeat Isgebind",10,5100,11000,0,0,45137,157333,0,0,0,12108,18164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196666,,14,100,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
12,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunwil/dunwil1r110/dunwil1r110",3690171,12,"Colosseum#0",False,"","","BNpcBase#1590","Slay all the enemies","Clear the Sunken Antechamber",9,4800,10000,0,0,37934,144858,0,0,0,9544,14329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181073,,13,100,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
13,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunroc/dunroc1r110/dunroc1r110",4229622,13,"Colosseum#0",False,"","","BNpcBase#1396","Open the grand hall gate","Deactivate the level IV magitek field",11,5400,12000,0,0,49330,166587,0,0,0,13498,20274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208234,,5,100,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
14,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunfst/dunfst1d310/dunfst1d310",4246570,14,"Colosseum#0",False,"","","BNpcBase#1696","Clear the Gier Hall","Defeat Anantaboga",16,0,0,30,0,34985,0,10,0,0,10329,15527,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,278877,,9,45,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
15,"InstanceContentType#2",0,120,False,"music/ffxiv/BGM_Con_Teikoku_01.scd","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunwil/dunwil1d401/dunwil1d401",4248047,15,"Colosseum#0",False,"","","BNpcBase#0","Darken the searchlight","Damn it, that colossus is enhanced! Hold on─I'll try to think of something!",14,0,0,100,0,152115,0,200,0,0,17270,25907,35100,25351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278877,,16,100,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
16,"InstanceContentType#2",0,120,False,"music/ffxiv/BGM_Con_Teikoku_02.scd","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunwil/dunwil1d502/dunwil1d502",4301613,16,"Colosseum#0",False,"","","BNpcBase#0","Imperial Identification Key","1...",15,0,0,100,0,364488,0,200,0,0,31086,19430,26325,0,38027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278877,,17,180,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
17,"InstanceContentType#2",0,90,False,,"music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunsea/dunsea1d410/dunsea1d410",4378111,17,"Colosseum#0",False,"","","BNpcBase#2265","Clear the aether pump","L-Land!? Land ho! Diamanda, I've come...urgh...home...",17,0,0,40,0,51719,0,15,0,0,11978,21232,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,278877,,8,45,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
18,"InstanceContentType#2",0,90,False,"music/ffxiv/BGM_Rade_01.scd","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunwil/dunwil1d610/dunwil1d610",4481318,18,"Colosseum#0",False,"","","BNpcBase#2289","Clear the Screaming Dark","CUTE WRIGGLY-WIGGLIES!
CRUSH PUNY ONES!",18,0,0,40,0,42972,0,15,0,0,12326,18855,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,278877,,69,45,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
19,"InstanceContentType#2",0,90,False,"music/ffxiv/BGM_Rade_01.scd","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunfst/dunfst1d410/dunfst1d410",4497567,19,"Colosseum#0",False,"","","BNpcBase#2346","Clear the White Hall","Tiny Keys",19,0,0,40,0,41831,0,15,0,0,12041,18379,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,278877,,12,45,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
20,"InstanceContentType#2",0,90,False,"music/ffxiv/BGM_Rade_01.scd","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunsea/dunsea1d610/dunsea1d610",4543710,20,"Colosseum#0",False,"Knowings of cheesemake is gobbie secret!","All cheese recipes are belong to Illuminati!","BNpcBase#2547","Clear Runstop Frontblock","Illuminati brainfruit is frontmost! Uplanders have no chance to survive! ",22,0,0,50,0,53239,0,20,0,0,15069,23238,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,278877,,0,50,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
