key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
#,InstanceContentType,WeekRestriction,TimeLimit{min},,BGM,WinBGM,Cutscene,LGBEventRange,Order,Colosseum,,InstanceContentTextData{Boss}{Start},InstanceContentTextData{Boss}{End},BNpcBase{Boss},InstanceContentTextData{Objective}{Start},InstanceContentTextData{Objective}{End},SortKey,InstanceClearExp,,NewPlayerBonusA,FinalBossCurrencyC,,FinalBossCurrencyA,FinalBossCurrencyB,NewPlayerBonusB,BossExp[0],BossExp[1],BossExp[2],BossExp[3],BossExp[4],BossCurrencyA[0],BossCurrencyA[1],BossCurrencyA[2],BossCurrencyA[3],BossCurrencyA[4],BossCurrencyB[0],BossCurrencyB[1],BossCurrencyB[2],BossCurrencyB[3],BossCurrencyB[4],BossCurrencyC[0],BossCurrencyC[1],BossCurrencyC[2],BossCurrencyC[3],BossCurrencyC[4],,InstanceClearGil,InstanceContentRewardItem,,FinalBossExp,,InstanceContentBuff,,ReqInstance,PartyCondition,,,,,,,,,,,
int32,InstanceContentType,byte,uint16,bit&01,BGM,BGM,Cutscene,uint32,uint16,Colosseum,bit&02,InstanceContentTextData,InstanceContentTextData,BNpcBase,InstanceContentTextData,InstanceContentTextData,uint16,uint32,uint32,uint16,uint16,uint32,uint32,uint16,uint16,uint16,uint32,uint32,uint32,uint32,uint32,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint32,InstanceContentRewardItem,uint32,byte,uint32,InstanceContentBuff,bit&04,InstanceContent,int16,byte,byte,byte,byte,bit&08,uint16,uint16,byte,uint16,uint16,bit&10
0,"InstanceContentType#0",0,60,False,"","music/ffxiv/BGM_System_WinLoop.scd","",0,0,"Colosseum#0",False,"","","BNpcBase#0","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",0,100,0,"InstanceContentBuff#0",False,"InstanceContent#0",-1,0,0,0,0,False,0,0,0,0,0,False
1,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunfst/dunfst1r110/dunfst1r110",2281258,1,"Colosseum#0",False,"","","BNpcBase#444","魔導フォトセルの所持数","愚者の広間の魔導ターミナルの作動",5,3400,3600,0,0,18230,32400,0,0,0,8100,14180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40500,,0,100,0,"InstanceContentBuff#0",True,"InstanceContent#0",-1,0,0,0,0,False,0,0,0,14,0,False
2,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunfst/dunfst1d110/dunfst1d110",1958540,2,"Colosseum#0",False,"血の復讐を求め「門」を開いた愚者は、
貴様ではないようだな……まぁ、よいわ。","事のついでだ……貴様の脳髄を啜り、
その精神の味を楽しむとしようぞ！","BNpcBase#73","邪教の念珠を入手","事のついでだ……貴様の脳髄を啜り、
その精神の味を楽しむとしようぞ！",2,2600,2200,0,0,13480,19600,0,0,0,3680,3680,3680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24500,,78,100,0,"InstanceContentBuff#0",True,"InstanceContent#0",-1,0,0,0,0,False,0,0,0,15,0,False
3,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunwil/dunwil1d110/dunwil1d110",2790145,3,"Colosseum#0",False,"オデたちをトジコメたワルモノに……。
ワルモノに……フクシュウををを……。","オマエラ……ワルモノさツブして……。
イジゾクにジユウををを！！！","BNpcBase#101","6オンズ爆薬の所持数","オマエラ……ワルモノさツブして……。
イジゾクにジユウををを！！！",3,2700,2700,0,0,13640,24200,0,0,0,6060,10610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30300,,0,100,0,"InstanceContentBuff#0",True,"InstanceContent#0",-1,0,0,0,0,False,0,0,0,16,0,False
4,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunsea/dunsea1d110/dunsea1d110",3283219,4,"Colosseum#0",False,"フスィーッ……。
海神様の潮流に抗う愚かな「ヒレナシ」よ！","我がアギトで噛み砕き
海の藻屑にしてくれようぞ！！","BNpcBase#1206","珊瑚の仕掛けの作動","我がアギトで噛み砕き
海の藻屑にしてくれようぞ！！",1,2500,2100,0,0,12925,18800,0,0,0,3525,3525,3525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23500,,6,100,0,"InstanceContentBuff#0",True,"InstanceContent#0",-1,0,0,0,0,False,0,0,0,17,0,False
5,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunroc/dunroc1r210/dunroc1r210",3619405,5,"Colosseum#0",False,"","","BNpcBase#1532","守衛の詰所を突破","モルボルの苗床を除去",12,5700,10300,0,0,51620,91800,0,0,0,22940,40150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114700,,4,100,0,"InstanceContentBuff#0",True,"InstanceContent#0",-1,0,0,0,0,False,0,0,0,18,0,False
6,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunfst/dunfst1d210/dunfst1d210",3633039,6,"Colosseum#0",False,"","","BNpcBase#422","小さな鍵所持数","黄撫子の鍵を入手",6,3800,4300,0,0,21960,39000,0,0,0,9760,17080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48800,,11,100,0,"InstanceContentBuff#0",True,"InstanceContent#0",-1,0,0,0,0,False,0,0,0,19,0,False
7,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunwil/dunwil1d210/dunwil1d210",4097951,7,"Colosseum#0",False,"","","BNpcBase#1197","「拳闘の間」の突破","「剣闘の間」の突破",4,3000,3100,0,0,15620,27800,0,0,0,6940,12150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34700,,0,100,0,"InstanceContentBuff#0",True,"InstanceContent#0",-1,0,0,0,0,False,0,0,0,20,0,False
8,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunsea/dunsea1d210/dunsea1d210",3998421,8,"Colosseum#0",False,"","","BNpcBase#1279","野営地の住人の発見","「ブレイフロクスの野営地」へ到達",7,4200,5300,0,0,26960,47900,0,0,0,11980,20970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59900,,0,100,0,"InstanceContentBuff#0",True,"InstanceContent#0",-1,0,0,0,0,False,0,0,0,21,0,False
9,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunwil/dunwil1d310/dunwil1d310",4064743,9,"Colosseum#0",False,"","","BNpcBase#1570","タタメフII世の祈祷所を突破","すでに彫像が置かれている……",8,4500,6200,0,0,31320,55700,0,0,0,13920,24360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69600,,0,100,0,"InstanceContentBuff#0",True,"InstanceContent#0",-1,0,0,0,0,False,0,0,0,22,0,False
10,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunsea/dunsea1d310/dunsea1d310",4177426,10,"Colosseum#0",False,"","","BNpcBase#1547","水上庭園を突破","ランタンオイル所持数",13,0,0,30,0,24460,0,10,0,0,10870,19030,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,,2,40,0,"InstanceContentBuff#0",True,"InstanceContent#0",-1,0,0,0,0,False,0,0,0,23,0,False
11,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunroc/dunroc1d110/dunroc1d110",4239689,11,"Colosseum#0",False,"","","BNpcBase#1680","バービガンの制圧","イスケビンドの撃破",10,5100,8400,0,0,42390,75400,0,0,0,18840,32970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94200,,14,100,0,"InstanceContentBuff#0",True,"InstanceContent#0",-1,0,0,0,0,False,0,0,0,24,0,False
12,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunwil/dunwil1r110/dunwil1r110",3690171,12,"Colosseum#0",False,"","","BNpcBase#1590","魔物をせん滅","沈殿せし中室を突破",9,4800,7500,0,0,37850,67300,0,0,0,16820,29440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84100,,13,100,0,"InstanceContentBuff#0",True,"InstanceContent#0",-1,0,0,0,0,False,0,0,0,25,0,False
13,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunroc/dunroc1r110/dunroc1r110",4229622,13,"Colosseum#0",False,"","","BNpcBase#1396","応門の扉の開放","魔導フィールドⅣの開放",11,5400,8900,0,0,44820,79700,0,0,0,19920,34860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99600,,5,100,0,"InstanceContentBuff#0",True,"InstanceContent#0",-1,0,0,0,0,False,0,0,0,26,0,False
