ID,NameEn,Name
1,The Thousand Maws Of Toto-Rak,托托·拉克千狱
2,The Tam-Tara Deepcroft,塔姆·塔拉墓园
3,Copperbell Mines,封锁坑道铜铃铜山
4,Sastasha,天然要害沙斯塔夏溶洞
5,The Aurum Vale,毒雾洞窟黄金谷
6,Haukke Manor,名门府邸静语庄园
7,Halatali,魔兽领域日影地修炼所
8,Brayflox's Longstop,休养胜地布雷福洛克斯野营地
9,The Sunken Temple Of Qarn,古代遗迹喀恩埋没圣堂
10,The Wanderer's Palace,神灵圣域放浪神古神殿
11,The Stone Vigil,对龙城塞石卫塔
12,Cutter's Cry,流沙迷宫樵鸣洞
13,Dzemael Darkhold,山中战线泽梅尔要塞
14,Amdapor Keep,邪教驻地无限城古堡
15,Castrum Meridianum,帝国南方堡外围激战
16,The Praetorium,天幕魔导城最终决战
17,Pharos Sirius,领航明灯天狼星灯塔
18,Copperbell Mines (Hard),骚乱坑道铜铃铜山
19,Haukke Manor (Hard),恶灵府邸静语庄园
20,Brayflox's Longstop (Hard),纷争要地布雷福洛克斯野营地
21,Halatali (Hard),剑斗领域日影地修炼所
22,The Lost City Of Amdapor,腐坏遗迹无限城市街古迹
23,Hullbreaker Isle,财宝传说破舰岛
24,The Tam-Tara Deepcroft (Hard),惨剧灵殿塔姆·塔拉墓园
25,The Stone Vigil (Hard),激战城塞石卫塔
26,The Sunken Temple Of Qarn (Hard),苏醒遗迹喀恩埋没圣堂
27,Snowcloak,凛冽洞天披雪大冰壁
28,Sastasha (Hard),逆转要害沙斯塔夏溶洞
29,Amdapor Keep (Hard),邪念妖地无限城古堡
30,The Wanderer's Palace (Hard),武装圣域放浪神古神殿
31,The Great Gubal Library,学识宝库迦巴勒幻想图书馆
32,The Keeper Of The Lake,幻龙残骸密约之塔
33,Neverreap,空中神域不获岛
34,The Vault,圣教中枢伊修加德教皇厅
35,The Fractal Continuum,博物战舰无限回廊
36,The Dusk Vigil,冰雪废堡暮卫塔
37,Sohm Al,天山绝顶索姆阿尔灵峰
38,The Aetherochemical Research Facility,血战苍穹魔科学研究所
39,The Aery,邪龙王座龙巢神殿
40,Pharos Sirius (Hard),地脉灵灯天狼星灯塔
41,Saint Mocianne's Arboretum,草木庭园圣茉夏娜植物园
42,The Lost City Of Amdapor (Hard),神圣遗迹无限城市街古迹
43,The Antitower,星海空间颠倒塔
44,Sohr Khai,天龙宫殿忆罪宫
45,Hullbreaker Isle (Hard),黑涡传说破舰岛
46,Xelphatol,险峻峡谷塞尔法特尔溪谷
47,The Great Gubal Library (Hard),秘本宝库迦巴勒幻想图书馆
48,Baelsar's Wall,坚牢铁壁巴埃萨长城
49,Sohm Al (Hard),天山深境索姆阿尔灵峰
50,Shisui Of The Violet Tides,海底宫殿紫水宫
51,The Temple Of The Fist,修行古刹星导寺
52,The Sirensong Sea,漂流海域妖歌海
53,Bardam's Mettle,试炼行路巴儿达木霸道
54,Doma Castle,解放决战多玛王城
55,Castrum Abania,巨炮要塞帝国白山堡
56,Ala Mhigo,鏖战红莲阿拉米格
57,Kugane Castle,恶党孤城黄金阁
58,The Drowned City Of Skalla,沉没神殿斯卡拉遗迹
59,Hells' Lid,红玉火山狱之盖
60,The Fractal Continuum (Hard),疯狂战舰无限回廊
61,The Swallow's Compass,*4.3 4人本*
5001,A Spectacle For The Ages,四国联合军演
5002,A Bloody Reunion,雷古拉·范·休著斯追击战
5003,One Life For One World,交缠的宿命
5004,The Carteneau Flats: Heliodrome,加尔提诺平原遭遇战
5005,It's Probably A Trap,鱼道现身！
5006,In Thal's Name,大会开始
5007,With Heart And Steel,抵御之力
5008,Naadam,那达慕
5009,Blood On The Deck,海都路人身首异
5010,The Face Of True Evil,极恶之人木枯
5011,Matsuba Mayhem,松叶门外之变
5012,The Battle On Bekko,决战龟甲岛
5013,Curious Gorge Meets His Match,原初的战士
