ID,NameEn,Name
1,The Thousand Maws Of Toto-Rak,The Thousand Maws Of Toto-Rak
2,The Tam-Tara Deepcroft,The Tam-Tara Deepcroft
3,Copperbell Mines,Copperbell Mines
4,Sastasha,Sastasha
5,The Aurum Vale,The Aurum Vale
6,Haukke Manor,Haukke Manor
7,Halatali,Halatali
8,Brayflox's Longstop,Brayflox's Longstop
9,The Sunken Temple Of Qarn,The Sunken Temple Of Qarn
10,The Wanderer's Palace,The Wanderer's Palace
11,The Stone Vigil,The Stone Vigil
12,Cutter's Cry,Cutter's Cry
13,Dzemael Darkhold,Dzemael Darkhold
14,Amdapor Keep,Amdapor Keep
15,Castrum Meridianum,Castrum Meridianum
16,The Praetorium,The Praetorium
17,Pharos Sirius,Pharos Sirius
18,Copperbell Mines (Hard),Copperbell Mines (Hard)
19,Haukke Manor (Hard),Haukke Manor (Hard)
20,Brayflox's Longstop (Hard),Brayflox's Longstop (Hard)
21,Halatali (Hard),Halatali (Hard)
22,The Lost City Of Amdapor,The Lost City Of Amdapor
23,Hullbreaker Isle,Hullbreaker Isle
24,The Tam-Tara Deepcroft (Hard),The Tam-Tara Deepcroft (Hard)
25,The Stone Vigil (Hard),The Stone Vigil (Hard)
26,The Sunken Temple Of Qarn (Hard),The Sunken Temple Of Qarn (Hard)
27,Snowcloak,Snowcloak
28,Sastasha (Hard),Sastasha (Hard)
29,Amdapor Keep (Hard),Amdapor Keep (Hard)
30,The Wanderer's Palace (Hard),The Wanderer's Palace (Hard)
31,The Great Gubal Library,The Great Gubal Library
32,The Keeper Of The Lake,The Keeper Of The Lake
33,Neverreap,Neverreap
34,The Vault,The Vault
35,The Fractal Continuum,The Fractal Continuum
36,The Dusk Vigil,The Dusk Vigil
37,Sohm Al,Sohm Al
38,The Aetherochemical Research Facility,The Aetherochemical Research Facility
39,The Aery,The Aery
40,Pharos Sirius (Hard),Pharos Sirius (Hard)
41,Saint Mocianne's Arboretum,Saint Mocianne's Arboretum
42,The Lost City Of Amdapor (Hard),The Lost City Of Amdapor (Hard)
43,The Antitower,The Antitower
44,Sohr Khai,Sohr Khai
45,Hullbreaker Isle (Hard),Hullbreaker Isle (Hard)
46,Xelphatol,Xelphatol
47,The Great Gubal Library (Hard),The Great Gubal Library (Hard)
48,Baelsar's Wall,Baelsar's Wall
49,Sohm Al (Hard),Sohm Al (Hard)
50,Shisui Of The Violet Tides,Shisui Of The Violet Tides
51,The Temple Of The Fist,The Temple Of The Fist
52,The Sirensong Sea,The Sirensong Sea
53,Bardam's Mettle,Bardam's Mettle
54,Doma Castle,Doma Castle
55,Castrum Abania,Castrum Abania
56,Ala Mhigo,Ala Mhigo
57,Kugane Castle,Kugane Castle
58,The Drowned City Of Skalla,The Drowned City Of Skalla
59,Hells' Lid,Hells' Lid
60,The Fractal Continuum (Hard),The Fractal Continuum (Hard)
61,The Swallow's Compass,The Swallow's Compass
5001,A Spectacle For The Ages,A Spectacle For The Ages
5002,A Bloody Reunion,A Bloody Reunion
5003,One Life For One World,One Life For One World
5004,The Carteneau Flats: Heliodrome,The Carteneau Flats: Heliodrome
5005,It's Probably A Trap,It's Probably A Trap
5006,In Thal's Name,In Thal's Name
5007,With Heart And Steel,With Heart And Steel
5008,Naadam,Naadam
5009,Blood On The Deck,Blood On The Deck
