key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
#,Name,Description,Icon,MaxStacks,,Category,HitEffect,VFX,LockMovement,,LockActions,LockControl,Transfiguration,,CanDispel,InflictedByActor,IsPermanent,PartyListPriority,,,,,,,Log,IsFcBuff,Invisibility,,,
int32,str,str,Image,byte,byte,byte,StatusHitEffect,StatusLoopVFX,bit&01,bit&02,bit&04,bit&08,bit&10,bit&20,bit&40,bit&80,bit&01,byte,bit&02,bit&04,bit&08,int16,byte,bit&10,uint16,bit&20,bit&40,byte,byte,bit&80
0,"","",,0,0,0,"","",False,False,False,False,False,False,False,False,False,0,False,False,False,0,0,False,0,False,False,0,0,False
1,"Petrification","Stone-like rigidity is preventing the execution of actions.","ui/icon/015000/015001.tex",0,1,2,"dk05ht_roc0t","dk10ht_roc0h",True,False,True,False,False,False,False,False,False,100,False,False,False,0,0,False,0,False,False,0,32,True
2,"Stun","Unable to execute actions.","ui/icon/015000/015004.tex",0,1,2,"dk05ht_sta0h","dk10ht_sta0f",True,False,True,False,False,False,True,False,False,100,False,False,False,0,0,False,0,False,False,0,0,False
3,"Sleep","Overwhelming drowsiness is preventing the execution of actions.","ui/icon/015000/015013.tex",0,1,2,"dk05ht_slp0s","dk10ht_slp0h",True,False,True,False,False,False,True,False,False,100,False,False,False,0,0,False,0,False,False,0,3,True
4,"Daze","Scattered senses are preventing the execution of actions.","ui/icon/015000/015003.tex",0,1,2,"dk05ht_kztu0t","",True,False,True,False,False,False,False,False,False,100,False,False,False,0,0,False,0,False,False,0,0,False
5,"Amnesia","Unable to use abilities.","ui/icon/015000/015015.tex",0,1,2,"dk05ht_ipab0t","",False,False,False,False,False,False,True,False,False,100,False,False,False,0,0,False,0,False,False,0,0,False
6,"Pacification","Unable to use weaponskills.","ui/icon/015000/015017.tex",0,1,2,"dk05ht_ipws0t","",False,False,False,False,False,False,True,False,False,100,False,False,False,0,0,False,0,False,False,0,0,False
7,"Silence","A stifling magic is preventing casts.","ui/icon/015000/015005.tex",0,1,2,"dk05ht_slet0t","",False,False,False,False,False,False,True,False,False,100,False,False,False,0,0,False,0,False,False,0,22,False
8,"Haste","Weaponskill cast time and recast time, spell cast time and recast time, and auto-attack delay are reduced.","ui/icon/015000/015008.tex",0,1,1,"dk05th_stup0t","",False,False,False,False,False,False,False,False,False,1,False,False,False,-15,0,False,0,False,False,0,0,False
9,"Slow","Weaponskill cast time and recast time, spell cast time and recast time, and auto-attack delay are increased.","ui/icon/015000/015009.tex",0,1,2,"dk05ht_slow0t","",False,False,False,False,False,False,True,False,False,50,False,False,False,15,0,False,0,False,False,0,0,False
10,"Slow","Weaponskill cast time and recast time, spell cast time and recast time, and auto-attack delay are increased.","ui/icon/015000/015545.tex",0,1,2,"dk05ht_slow0t","",False,False,False,False,False,False,True,True,True,50,False,False,False,20,0,False,0,False,False,0,0,False
11,"Confused","Attacking allies instead of the enemy.","ui/icon/015000/015603.tex",0,1,2,"dk05th_stdn0t","",False,False,False,True,False,True,False,False,False,100,False,False,False,0,0,False,0,False,False,0,0,False
12,"Levitation","Floating several ilms off the ground, defying the universal laws of gravity.","ui/icon/015000/015037.tex",0,1,1,"dk05th_stup0t","levitate0f",False,False,False,False,False,False,False,True,True,1,False,False,False,0,0,False,0,False,False,0,0,False
13,"Bind","Unable to move.","ui/icon/015000/015003.tex",0,1,2,"dk05ht_bind0t","dk10ht_bind0h",True,False,False,False,False,False,True,False,False,100,False,False,False,0,0,False,0,False,False,0,0,False
14,"Heavy","Movement speed is reduced.","ui/icon/015000/015002.tex",0,1,2,"dk05ht_grv0h","dk10ht_grv0h",False,False,False,False,False,False,True,False,False,100,False,False,False,0,1,False,0,False,False,0,0,False
15,"Blind","Encroaching darkness is lowering accuracy.","ui/icon/015000/015012.tex",0,1,2,"dk05ht_dark0t","",False,False,False,False,False,False,True,False,False,50,False,False,False,-10,0,False,0,False,False,0,0,False
16,"","",,0,0,0,"","",False,False,False,False,False,False,False,False,False,0,False,False,False,0,0,False,0,False,False,0,0,False
17,"Paralysis","Deadened nerves are sometimes preventing the execution of actions.","ui/icon/015000/015006.tex",0,1,2,"dk05ht_pal0h","",False,False,False,False,False,False,True,False,False,100,False,False,False,33,0,False,0,False,False,0,0,False
18,"Poison","Toxins are causing damage over time.","ui/icon/015000/015007.tex",0,1,2,"dk05ht_poi0s","",False,False,False,False,False,False,True,False,False,10,False,False,True,10,0,False,0,False,False,0,0,False
19,"Pollen","Deadly pollen has filled the lungs, causing damage over time.","ui/icon/015000/015517.tex",0,1,2,"dk05ht_poi0s","",False,False,False,False,False,False,False,True,True,10,False,False,True,100,0,False,0,False,False,0,0,False
20,"TP Bleed","Bleeding TP over time.","ui/icon/015000/015025.tex",0,1,2,"dk05th_stdn0t","",False,False,False,False,False,False,True,False,False,10,False,False,False,0,0,False,0,False,False,0,0,False
21,"HP Boost","Maximum HP is increased.","ui/icon/015000/015075.tex",0,1,1,"dk05th_stup0t","",False,False,False,False,False,False,False,False,False,1,False,False,False,10,0,False,0,False,False,0,0,False
22,"HP Penalty","Maximum HP is reduced.","ui/icon/015000/015076.tex",0,1,2,"dk05th_stdn0t","",False,False,False,False,False,False,True,False,False,50,False,False,False,-10,0,False,0,False,False,0,0,False
23,"MP Boost","Maximum MP is increased.","ui/icon/015000/015077.tex",0,1,1,"dk05th_stup0t","",False,False,False,False,False,False,False,False,False,1,False,False,False,10,0,False,0,False,False,0,0,False
24,"MP Penalty","Maximum MP is reduced.","ui/icon/015000/015078.tex",0,1,2,"dk05th_stdn0t","",False,False,False,False,False,False,True,False,False,50,False,False,False,-10,0,False,0,False,False,0,0,False
25,"Attack Up","Attack power is enhanced.","ui/icon/015000/015050.tex",0,1,1,"dk05th_stup0t","",False,False,False,False,False,False,False,False,False,1,False,False,False,10,0,False,0,False,False,0,0,False
26,"Attack Down","Attack power is reduced.","ui/icon/015000/015051.tex",0,1,2,"dk05th_stdn0t","",False,False,False,False,False,False,True,False,False,50,False,False,False,-10,0,False,0,False,False,0,0,False
