key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
#,Name,Description,Icon,,MaxStacks,,Category,HitEffect,VFX,LockMovement,,LockActions,LockControl,Transfiguration,,CanDispel,InflictedByActor,IsPermanent,PartyListPriority,,,,,,,Log,IsFcBuff,Invisibility,,,,
int32,str,str,Image,byte,byte,byte,byte,StatusHitEffect,StatusLoopVFX,bit&01,bit&02,bit&04,bit&08,bit&10,bit&20,bit&40,bit&80,bit&01,byte,byte,bit&02,bit&04,int16,byte,bit&08,uint16,bit&10,bit&20,byte,byte,byte,bit&40
0,"","",,0,0,0,0,"","",False,False,False,False,False,False,False,False,False,0,0,False,False,0,0,False,0,False,False,0,0,0,False
1,"Pétrification","Une rigidité semblable à celle de la pierre empêche toute action.","ui/icon/015000/015001.tex",85,0,1,2,"dk05ht_roc0t","dk10ht_roc0h",True,False,True,False,False,False,False,False,False,100,0,False,False,0,0,False,0,False,False,0,32,0,True
2,"Étourdissement","Toute action est impossible.","ui/icon/015000/015004.tex",0,0,1,2,"dk05ht_sta0h","dk10ht_sta0f",True,False,True,False,False,False,True,False,False,100,0,False,False,0,0,False,0,False,False,0,0,0,False
3,"Sommeil","Le sommeil empêche toute action.","ui/icon/015000/015013.tex",1,0,1,2,"dk05ht_slp0s","dk10ht_slp0h",True,False,True,False,False,False,True,False,False,100,0,False,False,0,0,False,0,False,False,0,3,0,True
4,"Évanouissement","Une perte momentanée de conscience empêche toute action.","ui/icon/015000/015003.tex",1,0,1,2,"dk05ht_kztu0t","",True,False,True,False,False,False,False,False,False,100,0,False,False,0,0,False,0,False,False,0,0,0,False
5,"Amnésie","L'utilisation d'aptitudes est impossible.","ui/icon/015000/015015.tex",0,0,1,2,"dk05ht_ipab0t","",False,False,False,False,False,False,True,False,False,100,0,False,False,0,0,False,0,False,False,0,0,0,False
6,"Pacification","L'utilisation de techniques d'arme est impossible.","ui/icon/015000/015017.tex",0,0,1,2,"dk05ht_ipws0t","",False,False,False,False,False,False,True,False,False,100,0,False,False,0,0,False,0,False,False,0,0,0,False
7,"Silence","Le lancement de sorts est impossible.","ui/icon/015000/015005.tex",2,0,1,2,"dk05ht_slet0t","",False,False,False,False,False,False,True,False,False,100,0,False,False,0,0,False,0,False,False,0,22,0,False
8,"Hâte","La vitesse des attaques automatiques est augmentée, et les temps de lancement et de recharge des sorts et des techniques d'arme sont réduits.","ui/icon/015000/015008.tex",5,0,1,1,"dk05th_stup0t","",False,False,False,False,False,False,False,False,False,1,0,False,False,-15,0,False,0,False,False,0,0,0,False
9,"Lenteur","La vitesse des attaques automatiques est réduite, et les temps de lancement et de recharge des sorts et des techniques d'arme sont allongés.","ui/icon/015000/015009.tex",5,0,1,2,"dk05ht_slow0t","",False,False,False,False,False,False,True,False,False,50,0,False,False,15,0,False,0,False,False,0,0,0,False
10,"Lenteur","Les mouvements sont gênés par une constriction. La vitesse des attaques automatiques est réduite, et les temps de lancement et de recharge des sorts et des techniques d'arme sont allongés.","ui/icon/015000/015545.tex",5,0,1,2,"dk05ht_slow0t","",False,False,False,False,False,False,True,True,True,50,0,False,False,20,0,False,0,False,False,0,0,0,False
11,"Confusion","La folie fait attaquer les alliés à la place des ennemis.","ui/icon/015000/015603.tex",64,0,1,2,"dk05th_stdn0t","",False,False,False,True,False,True,False,False,False,100,0,False,False,0,0,False,0,False,False,0,0,0,False
12,"Lévitation","Le corps flotte à quelques ilms du sol, défiant la loi de la gravité.","ui/icon/015000/015037.tex",0,0,1,1,"dk05th_stup0t","levitate0f",False,False,False,False,False,False,False,True,True,1,0,False,False,0,0,False,0,False,False,0,0,0,False
13,"Entrave","Tout déplacement est impossible.","ui/icon/015000/015003.tex",3,0,1,2,"dk05ht_bind0t","dk10ht_bind0h",True,False,False,False,False,False,True,False,False,100,0,False,False,0,0,False,0,False,False,0,0,0,False
14,"Pesanteur","La vitesse de déplacement est réduite.","ui/icon/015000/015002.tex",3,0,1,2,"dk05ht_grv0h","dk10ht_grv0h",False,False,False,False,False,False,True,False,False,100,0,False,False,0,1,False,0,False,False,0,0,0,False
15,"Cécité","Un voile d'obscurité diminue la précision.","ui/icon/015000/015012.tex",4,0,1,2,"dk05ht_dark0t","",False,False,False,False,False,False,True,False,False,50,0,False,False,-10,0,False,0,False,False,0,0,0,False
16,"","",,0,0,0,0,"","",False,False,False,False,False,False,False,False,False,0,0,False,False,0,0,False,0,False,False,0,0,0,False
17,"Paralysie","Une paralysie empêche parfois d'effectuer des actions.","ui/icon/015000/015006.tex",0,0,1,2,"dk05ht_pal0h","",False,False,False,False,False,False,True,False,False,100,0,False,False,33,0,False,0,False,False,0,0,0,False
18,"Poison","Des dégâts périodiques de poison sont subis.","ui/icon/015000/015007.tex",0,0,1,2,"dk05ht_poi0s","",False,False,False,False,False,False,True,False,False,10,0,False,True,10,0,False,0,False,False,0,0,0,False
19,"Poison violent","Des dégâts périodiques de poison sont subis.","ui/icon/015000/015517.tex",0,0,1,2,"dk05ht_poi0s","",False,False,False,False,False,False,False,True,True,10,0,False,True,100,0,False,0,False,False,0,0,0,False
20,"Saignée de PT","Perd des PT périodiquement.","ui/icon/015000/015025.tex",0,0,1,2,"dk05th_stdn0t","",False,False,False,False,False,False,True,False,False,10,0,False,False,0,0,False,0,False,False,0,0,0,False
21,"Bonus de PV","Les PV maximums sont augmentés.","ui/icon/015000/015075.tex",6,0,1,1,"dk05th_stup0t","",False,False,False,False,False,False,False,False,False,1,0,False,False,10,0,False,0,False,False,0,0,0,False
22,"Malus de PV","Les PV maximums sont réduits.","ui/icon/015000/015076.tex",6,0,1,2,"dk05th_stdn0t","",False,False,False,False,False,False,True,False,False,50,0,False,False,-10,0,False,0,False,False,0,0,0,False
23,"Bonus de PM","Les PM maximums sont augmentés.","ui/icon/015000/015077.tex",7,0,1,1,"dk05th_stup0t","",False,False,False,False,False,False,False,False,False,1,0,False,False,10,0,False,0,False,False,0,0,0,False
24,"Malus de PM","Les PM maximums sont réduits.","ui/icon/015000/015078.tex",7,0,1,2,"dk05th_stdn0t","",False,False,False,False,False,False,True,False,False,50,0,False,False,-10,0,False,0,False,False,0,0,0,False
25,"Bonus d'attaque","L'attaque est augmentée.","ui/icon/015000/015050.tex",8,0,1,1,"dk05th_stup0t","",False,False,False,False,False,False,False,False,False,1,0,False,False,10,0,False,0,False,False,0,0,0,False
26,"Malus d'attaque","L'attaque est réduite.","ui/icon/015000/015051.tex",8,0,1,2,"dk05th_stdn0t","",False,False,False,False,False,False,True,False,False,50,0,False,False,-10,0,False,0,False,False,0,0,0,False
27,"Bonus de précision","La précision est augmentée.","ui/icon/015000/015060.tex",9,0,1,1,"dk05th_stup0t","",False,False,False,False,False,False,False,False,False,1,0,False,False,10,0,False,0,False,False,0,0,0,False
28,"Malus de précision","La précision est réduite.","ui/icon/015000/015061.tex",9,0,1,2,"dk05th_stdn0t","",False,False,False,False,False,False,True,False,False,50,0,False,False,-10,0,False,0,False,False,0,0,0,False
29,"Bonus de défense","La défense est augmentée.","ui/icon/015000/015052.tex",10,0,1,1,"dk05th_stup0t","",False,False,False,False,False,False,False,False,False,1,0,False,False,10,0,False,0,False,False,0,0,0,False
30,"Malus de défense","La défense est réduite.","ui/icon/015000/015053.tex",10,0,1,2,"dk05th_stdn0t","",False,False,False,False,False,False,True,False,False,50,0,False,False,-10,0,False,0,False,False,0,0,0,False
31,"Bonus d'esquive","L'esquive est augmentée.","ui/icon/015000/015062.tex",11,0,1,1,"dk05th_stup0t","",False,False,False,False,False,False,False,False,False,1,0,False,False,10,0,False,0,False,False,0,0,0,False
32,"Malus d'esquive","L'esquive est réduite.","ui/icon/015000/015063.tex",11,0,1,2,"dk05th_stdn0t","",False,False,False,False,False,False,True,False,False,50,0,False,False,-10,0,False,0,False,False,0,0,0,False
33,"Bonus de puissance magique","La puissance magique est augmentée.","ui/icon/015000/015054.tex",12,0,1,1,"dk05th_stup0t","",False,False,False,False,False,False,False,False,False,1,0,False,False,10,0,False,0,False,False,0,0,0,False
34,"Malus de puissance magique","La puissance magique est réduite.","ui/icon/015000/015055.tex",12,0,1,2,"dk05th_stdn0t","",False,False,False,False,False,False,True,False,False,50,0,False,False,-10,0,False,0,False,False,0,0,0,False
35,"Bonus de magie curative","La magie curative est augmentée.","ui/icon/015000/015058.tex",13,0,1,1,"dk05th_stup0t","",False,False,False,False,False,False,False,False,False,1,0,False,False,10,0,False,0,False,False,0,0,0,False
36,"Malus de magie curative","La magie curative est réduite.","ui/icon/015000/015059.tex",13,0,1,2,"dk05th_stdn0t","",False,False,False,False,False,False,True,False,False,50,0,False,False,-10,0,False,0,False,False,0,0,0,False
37,"Bonus de défense magique","La défense magique est augmentée.","ui/icon/015000/015056.tex",14,0,1,1,"dk05th_stup0t","",False,False,False,False,False,False,False,False,False,1,0,False,False,10,0,False,0,False,False,0,0,0,False
38,"Malus de défense magique","La défense magique est réduite.","ui/icon/015000/015057.tex",14,0,1,2,"dk05th_stdn0t","",False,False,False,False,False,False,True,False,False,50,0,False,False,-10,0,False,0,False,False,0,0,0,False
39,"Résistance à Étourdissement","Étourdissement n'a aucun effet.","ui/icon/015000/015566.tex",0,0,1,1,"dk05th_stup0t","",False,False,False,False,False,False,False,True,True,100,0,False,False,100,0,False,0,False,False,0,0,0,False
40,"Résistance à Silence","Silence n'a aucun effet.","ui/icon/015000/015567.tex",0,0,1,1,"dk05th_stup0t","",False,False,False,False,False,False,False,True,True,100,0,False,False,100,0,False,0,False,False,0,0,0,False
41,"Installation d'artisanat","La synthèse est facilitée par l'utilisation d'une installation. Les artisans de niveau 80 ou moins voient leurs PS maximums augmentés.","ui/icon/016000/016107.tex",0,0,1,1,"dk05th_stup0t","",False,False,False,False,False,False,False,False,False,0,0,False,False,10,0,False,0,False,False,0,0,0,False
42,"L'Écho","Les PV maximums, les dégâts infligés et le potentiel curatif des soins prodigués par la cible de cet effet sont augmentés.","ui/icon/016000/016207.tex",0,0,1,1,"dk05th_stup0t","",False,False,False,False,False,False,False,True,True,0,0,False,False,15,0,False,0,False,False,0,0,0,False
43,"Affaiblissement","La force, la dextérité, l'in<SoftHyphen/>tel<SoftHyphen/>li<SoftHyphen/>gence et l'esprit sont réduits de 25%.","ui/icon/015000/015010.tex",16,0,1,2,"","",False,False,False,False,False,False,False,False,False,100,0,False,False,0,0,False,0,False,False,0,0,0,False
44,"Mourant","La force, la dextérité, l'in<SoftHyphen/>tel<SoftHyphen/>li<SoftHyphen/>gence et l'esprit sont réduits de 50%.","ui/icon/015000/015011.tex",16,0,1,2,"","",False,False,False,False,False,False,False,False,False,100,0,False,False,0,0,False,0,False,False,0,0,0,False
45,"Grâce de l'artisan","Les chances de gains de points d'expérience en tant qu'artisan sont augmentées.","ui/icon/016000/016106.tex",15,0,1,1,"dk05th_stup0t","",False,False,False,False,False,False,False,False,False,0,1,False,False,0,0,False,0,False,False,0,0,0,False
46,"Grâce du récolteur","Les chances de gains de points d'expérience en tant que récolteur sont augmentées.","ui/icon/016000/016006.tex",15,0,1,1,"dk05th_stup0t","",False,False,False,False,False,False,False,False,False,0,1,False,False,0,0,False,0,False,False,0,0,0,False
47,"Discrétion","Se déplace silencieusement et ne peut pas être détecté<If(PlayerParameter(4))>e<Else/></If> par les ennemis jusqu'à 4 niveaux au-dessus du sien.","ui/icon/016000/016015.tex",0,0,1,1,"dk05th_stup0t","ab_stealth_gaz0t",False,False,False,False,False,False,False,True,True,2,0,False,False,0,0,False,0,False,False,0,36,0,False
48,"Repu","Sous l'effet d'un repas.","ui/icon/016000/016202.tex",0,0,1,1,"dk05th_stup0t","",False,False,False,False,False,False,False,False,False,0,1,False,False,1,0,False,0,False,False,0,0,0,False
49,"Médicamenté","Les ca<SoftHyphen/>rac<SoftHyphen/>té<SoftHyphen/>ris<SoftHyphen/>ti<SoftHyphen/>ques sont augmentées sous l'effet d'un médicament.","ui/icon/016000/016203.tex",0,0,1,1,"dk05th_stup0t","",False,False,False,False,False,False,False,False,False,0,0,False,False,2,0,False,0,False,False,0,0,0,False
50,"Sprint","La vitesse de déplacement est augmentée.","ui/icon/010000/010101.tex",41,0,1,1,"","",False,False,False,False,False,False,False,False,False,0,0,False,False,0,0,False,0,False,False,0,6,0,False
51,"Malus de force","La force est réduite.","ui/icon/015000/015080.tex",0,0,1,2,"dk05th_stdn0t","",False,False,False,False,False,False,True,False,False,50,0,False,False,-5,0,False,0,False,False,0,0,0,False
52,"Malus de vitalité","La vitalité est réduite.","ui/icon/015000/015082.tex",0,0,1,2,"dk05th_stdn0t","",False,False,False,False,False,False,True,False,False,50,0,False,False,-5,0,False,0,False,False,0,0,0,False
53,"Bonus de dégâts physiques","Les dégâts physiques infligés sont augmentés.","ui/icon/015000/015050.tex",35,0,1,1,"dk05th_stup0t","",False,False,False,False,False,False,False,False,False,1,0,False,False,10,0,False,0,False,False,0,0,0,False
54,"Malus de dégâts physiques","Les dégâts physiques infligés sont réduits.","ui/icon/015000/015051.tex",35,0,1,2,"dk05th_stdn0t","",False,False,False,False,False,False,True,False,False,50,0,False,False,-10,0,False,0,False,False,0,0,0,False
55,"Vulnérabilité physique diminuée","Les dégâts physiques reçus sont réduits.","ui/icon/015000/015052.tex",36,0,1,1,"dk05th_stup0t","",False,False,False,False,False,False,False,False,False,1,0,False,False,-10,0,False,0,False,False,0,0,0,False
56,"Vulnérabilité physique augmentée","Les dégâts physiques reçus sont augmentés.","ui/icon/015000/015053.tex",36,0,1,2,"dk05th_stdn0t","",False,False,False,False,False,False,True,False,False,50,0,False,False,10,0,False,0,False,False,0,0,0,False
