key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
#,Name,Description,Icon,MaxStacks,,Category,HitEffect,VFX,LockMovement,,LockActions,LockControl,Transfiguration,,CanDispel,InflictedByActor,IsPermanent,,,,,,,,IsFcBuff,Invisibility,,,
int32,str,str,Image,byte,byte,byte,StatusHitEffect,StatusLoopVFX,bit&01,bit&02,bit&04,bit&08,bit&10,bit&20,bit&40,bit&80,bit&01,byte,bit&02,bit&04,int16,byte,bit&08,uint16,bit&10,bit&20,byte,byte,bit&40
0,"","",,0,0,0,"","",False,False,False,False,False,False,False,False,False,0,False,False,0,0,False,0,False,False,0,0,False
1,"석화","손발이 석화되어 행동이 불가능한 상태.","ui/icon/015000/015001.tex",0,1,2,"dk05ht_roc0t","dk10ht_roc0h",True,False,True,False,False,False,False,False,False,100,False,False,0,0,False,0,False,False,0,32,True
2,"기절","행동이 불가능한 상태.","ui/icon/015000/015004.tex",0,1,2,"dk05ht_sta0h","dk10ht_sta0f",True,False,True,False,False,False,True,False,False,100,False,False,0,0,False,0,False,False,0,0,False
3,"수면","잠에 빠져 행동이 불가능한 상태.","ui/icon/015000/015013.tex",0,1,2,"dk05ht_slp0s","dk10ht_slp0h",True,False,True,False,False,False,True,False,False,100,False,False,0,0,False,0,False,False,0,3,True
4,"혼절","정신을 잃어 행동이 불가능한 상태.","ui/icon/015000/015003.tex",0,1,2,"dk05ht_kztu0t","",True,False,True,False,False,False,False,False,False,100,False,False,0,0,False,0,False,False,0,0,False
5,"능력 사용불가","능력을 사용할 수 없는 상태.","ui/icon/015000/015015.tex",0,1,2,"dk05ht_ipab0t","",False,False,False,False,False,False,True,False,False,100,False,False,0,0,False,0,False,False,0,0,False
6,"무기 기술 사용불가","무기 기술을 사용할 수 없는 상태.","ui/icon/015000/015017.tex",0,1,2,"dk05ht_ipws0t","",False,False,False,False,False,False,True,False,False,100,False,False,0,0,False,0,False,False,0,0,False
7,"침묵","마법을 시전할 수 없는 상태.","ui/icon/015000/015005.tex",0,1,2,"dk05ht_slet0t","",False,False,False,False,False,False,True,False,False,100,False,False,0,0,False,0,False,False,0,22,False
8,"헤이스트","자동 공격 주기, 무기 기술 및 마법 시전 시간과 재사용 대기 시간이 줄어든 상태.","ui/icon/015000/015008.tex",0,1,1,"dk05th_stup0t","",False,False,False,False,False,False,False,False,False,1,False,False,-15,0,False,0,False,False,0,0,False
9,"둔화","자동 공격 주기, 무기 기술 및 마법 시전 시간과 재사용 대기 시간이 늘어난 상태.","ui/icon/015000/015009.tex",0,1,2,"dk05ht_slow0t","",False,False,False,False,False,False,True,False,False,50,False,False,15,0,False,0,False,False,0,0,False
10,"구속 장치: 둔화","구속 장치의 영향으로 움직임이 둔해져, 자동 공격 주기, 무기 기술 및 마법 시전 시간과 재사용 대기 시간이 늘어난 상태.","ui/icon/015000/015545.tex",0,1,2,"dk05ht_slow0t","",False,False,False,False,False,False,True,True,True,50,False,False,20,0,False,0,False,False,0,0,False
11,"혼란","혼란에 빠진 상태. 아군을 계속 공격한다.","ui/icon/015000/015603.tex",0,1,2,"dk05th_stdn0t","",False,False,False,True,False,True,False,False,False,100,False,False,0,0,False,0,False,False,0,0,False
12,"레비테트","중력을 거슬러 허공에 뜬 상태.","ui/icon/015000/015037.tex",0,1,1,"dk05th_stup0t","levitate0f",False,False,False,False,False,False,False,True,True,1,False,False,0,0,False,0,False,False,0,0,False
13,"속박","이동이 불가능한 상태.","ui/icon/015000/015003.tex",0,1,2,"dk05ht_bind0t","dk10ht_bind0h",True,False,False,False,False,False,True,False,False,100,False,False,0,0,False,0,False,False,0,0,False
14,"과중력","이동 속도가 느려진 상태.","ui/icon/015000/015002.tex",0,1,2,"dk05ht_grv0h","dk10ht_grv0h",False,False,False,False,False,False,True,False,False,100,False,False,0,1,False,0,False,False,0,0,False
