key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
#,Name,Bg,BattalionMode,PlaceName{Region},PlaceName{Zone},PlaceName,Map,LoadingImage,ExclusiveType,TerritoryIntendedUse,ContentFinderCondition,,WeatherRate,,,PCSearch,Stealth,Mount,,BGM,PlaceName{Region}Icon,PlaceNameIcon,ArrayEventHandler,QuestBattle,Aetheryte,FixedTime,Resident,AchievementIndex,IsPvpZone,ExVersion,,,,MountSpeed,,,,,,,,,
int32,str,str,byte,PlaceName,PlaceName,PlaceName,Map,LoadingImage,byte,byte,ContentFinderCondition,bit&01,byte,bit&02,byte,bit&04,bit&08,bit&10,bit&20,Row,Image,Image,ArrayEventHandler,QuestBattle,Aetheryte,int32,uint16,sbyte,bit&40,ExVersion,byte,byte,byte,MountSpeed,bit&80,bit&01,byte,bit&02,bit&04,bit&08,bit&10,bit&20,uint16
1,"","",0,"","","","","LoadingImage#0",0,0,"",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"A Realm Reborn",0,0,0,"",False,False,0,False,False,False,False,False,0
2,"","",0,"","","","","LoadingImage#0",0,0,"",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"A Realm Reborn",0,0,0,"",False,False,0,False,False,False,False,False,0
3,"","",0,"","","","","LoadingImage#0",0,0,"",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"A Realm Reborn",0,0,0,"",False,False,0,False,False,False,False,False,0
4,"","",0,"","","","","LoadingImage#0",0,0,"",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"A Realm Reborn",0,0,0,"",False,False,0,False,False,False,False,False,0
5,"","",0,"","","","","LoadingImage#0",0,0,"",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"A Realm Reborn",0,0,0,"",False,False,0,False,False,False,False,False,0
6,"","",0,"","","","","LoadingImage#0",0,0,"",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"A Realm Reborn",0,0,0,"",False,False,0,False,False,False,False,False,0
7,"","",0,"","","","","LoadingImage#0",0,0,"",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"A Realm Reborn",0,0,0,"",False,False,0,False,False,False,False,False,0
8,"","",0,"","","","","LoadingImage#0",0,0,"",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"A Realm Reborn",0,0,0,"",False,False,0,False,False,False,False,False,0
9,"","",0,"","","","","LoadingImage#0",0,0,"",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"A Realm Reborn",0,0,0,"",False,False,0,False,False,False,False,False,0
10,"","",0,"","","","","LoadingImage#0",0,0,"",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"A Realm Reborn",0,0,0,"",False,False,0,False,False,False,False,False,0
11,"","",0,"","","","","LoadingImage#0",0,0,"",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"A Realm Reborn",0,0,0,"",False,False,0,False,False,False,False,False,0
13,"","",0,"","","","","LoadingImage#0",0,0,"",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"A Realm Reborn",0,0,0,"",False,False,0,False,False,False,False,False,0
14,"","",0,"","","","","LoadingImage#0",0,0,"",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"A Realm Reborn",0,0,0,"",False,False,0,False,False,False,False,False,0
15,"","",0,"","","","","LoadingImage#0",0,0,"",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"A Realm Reborn",0,0,0,"",False,False,0,False,False,False,False,False,0
16,"","",0,"","","","","LoadingImage#0",0,0,"",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"A Realm Reborn",0,0,0,"",False,False,0,False,False,False,False,False,0
17,"","",0,"","","","","LoadingImage#0",0,0,"",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"A Realm Reborn",0,0,0,"",False,False,0,False,False,False,False,False,0
18,"","",0,"","","","","LoadingImage#0",0,0,"",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"A Realm Reborn",0,0,0,"",False,False,0,False,False,False,False,False,0
19,"","",0,"","","","","LoadingImage#0",0,0,"",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"A Realm Reborn",0,0,0,"",False,False,0,False,False,False,False,False,0
20,"","",0,"","","","","LoadingImage#0",0,0,"",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"A Realm Reborn",0,0,0,"",False,False,0,False,False,False,False,False,0
21,"","",0,"","","","","LoadingImage#0",0,0,"",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"A Realm Reborn",0,0,0,"",False,False,0,False,False,False,False,False,0
22,"","",0,"","","","","LoadingImage#0",0,0,"",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"A Realm Reborn",0,0,0,"",False,False,0,False,False,False,False,False,0
24,"","",0,"","","","","LoadingImage#0",0,0,"",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"A Realm Reborn",0,0,0,"",False,False,0,False,False,False,False,False,0
25,"","",0,"","","","","LoadingImage#0",0,0,"",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"A Realm Reborn",0,0,0,"",False,False,0,False,False,False,False,False,0
26,"","",0,"","","","","LoadingImage#0",0,0,"",False,0,False,0,False,False,False,False,"",,,,"QuestBattle#0","",0,0,0,False,"A Realm Reborn",0,0,0,"",False,False,0,False,False,False,False,False,0
